Protein.Group,Genes,Estimate,SE,p,n_ID,q
O00231,PSMD11,-0.256466798453908,0.0524167216865384,9.9389607229375e-07,26,0.00153556943169384
Q4LDE5,SVEP1,0.456307633517632,0.098106659001677,3.3010793989958e-06,26,0.00198417263180398
Q16820,MEP1B,0.608664768072802,0.131769264970623,3.85276239185238e-06,21,0.00198417263180398
Q9HDC9,APMAP,0.447444361273234,0.101465228957557,1.03452031723441e-05,26,0.00399583472531791
Q9NYL9,TMOD3,-0.519910123944678,0.122739506047908,2.27655822146905e-05,26,0.00554715131857844
P39060,COL18A1,0.565156445159529,0.133619407813716,2.34108771395803e-05,25,0.00554715131857844
P24821,TNC,0.482477222237641,0.115280710956454,2.84867360478117e-05,26,0.00554715131857844
O60462,NRP2,0.529404599754793,0.126550072944036,2.87231136237072e-05,26,0.00554715131857844
Q9BTV4,TMEM43,-0.289543987760543,0.0702264075502733,3.73957916898586e-05,26,0.0055883506230472
P11717,IGF2R,0.464720917003399,0.113768904254296,4.4118643311044e-05,26,0.0055883506230472
Q14392,LRRC32,-0.293776143953075,0.0722487994059745,4.77913889168989e-05,25,0.0055883506230472
Q07507,DPT,0.920456628801519,0.227047468642543,5.03433444702731e-05,26,0.0055883506230472
Q9H7D0,DOCK5,-0.282359031496154,0.0700253688850623,5.52479309347795e-05,26,0.0055883506230472
Q6P4E1,GOLM2,0.641711068547642,0.159447659846049,5.7075255313566e-05,26,0.0055883506230472
P56134,ATP5MF,-0.672572962624956,0.16717728161139,5.74341159256385e-05,26,0.0055883506230472
P50402,EMD,-0.359141529655189,0.0896670577120983,6.19444810143622e-05,26,0.0055883506230472
Q9NS62,THSD1,0.698845780252937,0.175044203899979,6.54090213558975e-05,25,0.0055883506230472
O60313,OPA1,-0.232194254707463,0.0581605912610677,6.54368152222182e-05,26,0.0055883506230472
Q14697,GANAB,-0.160728012361175,0.0403803075337076,6.88120455406172e-05,26,0.0055883506230472
P26022,PTX3,0.474060538455654,0.119776034371434,7.56143148327916e-05,26,0.0055883506230472
P48444,ARCN1,-0.273711516101348,0.0693307353478214,7.88363687027385e-05,26,0.0055883506230472
Q9BXN1,ASPN,0.493601415477774,0.125099333868477,7.95752192278566e-05,26,0.0055883506230472
P09668,CTSH,0.735011181976525,0.186791071892027,8.32183703630636e-05,23,0.0055901035743884
Q9Y6Z7,COLEC10,0.871243906168311,0.222284373306845,8.8732356145949e-05,26,0.00571214542689547
P55285,CDH6,0.633058487160948,0.163276650584474,0.000105659493017768,26,0.00648137914431768
O95810,CAVIN2,-0.359201676051702,0.0928783371966095,0.000109982519935627,26,0.00648137914431768
Q9NR99,MXRA5,0.595791877991551,0.154339864165445,0.000113266819997785,26,0.00648137914431768
Q9HBW9,ADGRL4,0.488297427743311,0.128222333281754,0.000139977014266929,26,0.00746091807814948
Q15833,STXBP2,-0.270492844996221,0.0710310671353603,0.000140043122502482,26,0.00746091807814948
P78509,RELN,0.381656589756366,0.101121685538453,0.000160502056289123,26,0.00802525699692618
P12814,ACTN1,-0.424373296856919,0.112463824702735,0.000161024574048357,26,0.00802525699692618
P14151,SELL,0.740508479497052,0.199424005210918,0.000204625565219424,26,0.00978296421251141
Q9HCL0,PCDH18,0.592432174838194,0.159774166034985,0.000208956517160438,26,0.00978296421251141
Q99715,COL12A1,0.3797452050481,0.103051826726916,0.000228709405998436,26,0.0101305235734647
Q9UNM6,PSMD13,-0.236189265234705,0.064110089135461,0.000229494061534799,26,0.0101305235734647
Q9NY65,TUBA8,-0.486483156426967,0.133880593247956,0.000279375622061718,26,0.0119898704468154
P13591,NCAM1,0.370202217996261,0.102905516801266,0.000321295040324263,26,0.0131670339361277
P01137,TGFB1,-0.220048741137333,0.0612022499005792,0.000323849378364305,26,0.0131670339361277
Q15436,SEC23A,-0.276029767990908,0.0776956762695266,0.000381292720623027,26,0.0148028950331893
O75791,GRAP2,-0.251841011578899,0.0709139719278958,0.000383246473351178,26,0.0148028950331893
P22105,TNXB,0.37351407369792,0.105464012374235,0.000397669088544236,26,0.0149853351658743
P33151,CDH5,0.543188322634644,0.153777697225826,0.000411968169272725,26,0.0151545433696752
P30101,PDIA3,0.30804524158557,0.0877047412173409,0.000444248532290398,26,0.0156284117097196
Q9C0C9,UBE2O,-0.235465346077703,0.0670497388552557,0.000445080980729877,26,0.0156284117097196
Q96JQ0,DCHS1,0.540509045405785,0.154215090456726,0.000456772424480311,21,0.0156825199071574
P05154,SERPINA5,0.564844065313143,0.161845818636376,0.000482996444775205,26,0.0160685360952871
P05090,APOD,0.605839576142732,0.173751758144829,0.00048881630840032,26,0.0160685360952871
Q8N2S1,LTBP4,0.651542254969988,0.1874358314676,0.000508797349055674,25,0.0161201040585561
P49748,ACADVL,-0.277891808531071,0.0800093992741671,0.000514216207269848,26,0.0161201040585561
O43707,ACTN4,-0.242201134714537,0.0698113321438284,0.000521686215487252,26,0.0161201040585561
Q02952,AKAP12,0.561485885337332,0.162256329403539,0.000539199678001708,26,0.01633457848064
Q99542,MMP19,0.372572754700569,0.108078570480029,0.000566345554663791,26,0.0167101066695434
P55072,VCP,-0.29439936192499,0.0855234600348595,0.000576741444255248,26,0.0167101066695434
O95831,AIFM1,-0.193116604631097,0.0561561992171575,0.000584042563207344,25,0.0167101066695434
P78371,CCT2,-0.23173183012272,0.0676999009628797,0.000619506743808856,26,0.0171433490051522
Q6UVK1,CSPG4,0.459436129300609,0.134255311499331,0.000621377051319434,26,0.0171433490051522
O14786,NRP1,0.41065041361397,0.120475224650462,0.000653000028128107,26,0.0173614642884635
