phenotype,Genes,n,rho,p,q_global,q_within
mri_IP,PSMD11,25,0.719753812121641,4.99773558828782e-05,1,0.0769151507037496
mri_SAT,PI4KA,22,0.726708074534162,0.000193083000744118,1,0.297154738145198
VO2max.kg,ACTR2,26,-0.666895025869737,0.000198698965905197,1,0.305797708528098
mrs_Musc,SELENOP,19,0.745275738523679,0.000250399645253037,1,0.189121776158129
mrs_Musc,GRB2,18,0.749527490627137,0.000342358151480201,1,0.189121776158129
mrs_Musc,TMEM43,17,0.762804138428078,0.000369138144745859,1,0.189121776158129
mri_TAT,PSMC2,25,0.663846153846154,0.000411987444874309,1,0.480009188788835
VO2max.kg,APPL1,22,-0.685698572774948,0.000427586480512295,1,0.329027796754211
LegPress,EEF1D,26,-0.632702682109889,0.000523449449620885,1,0.456171455287138
M_mg.kg.min,BRK1,22,0.684923771880294,0.000611061101579821,1,0.78180095364268
mri_TAT,APOC2,25,0.647692307692308,0.000623793617659305,1,0.480009188788835
VO2max.kg,EXOC7,18,-0.725864836018752,0.000649162734362869,1,0.333020482728152
mri_SAT,PCYOX1,23,0.661067193675889,0.000801458849780505,1,0.462435831083617
LegPress,UBA1,22,0.660430864132492,0.000822046142088924,1,0.456171455287138
mri_SAT,PSMC2,25,0.631538461538462,0.000922633027029554,1,0.462435831083617
PullDown,RARS1,14,0.775450741580644,0.00111862318432851,1,0.879883491888487
PullDown,HLA-C,19,0.687485865978638,0.00114344833253864,1,0.879883491888487
LegPress,TAOK3,23,-0.632579793773435,0.0011994168644216,1,0.456171455287138
ChestPress,DMTN,25,-0.607405001259006,0.00128124385058375,1,0.581113408523802
ChestPress,ATP1B3,23,0.627752002668551,0.00134198868049573,1,0.581113408523802
BMI,COPS3,25,0.604321523313352,0.00137705486801343,1,1
mrs_Musc,GANAB,19,0.678812384909796,0.00139562410901245,1,0.372078124583309
mrs_Musc,UBASH3A,16,0.727497989689478,0.00140308044918186,1,0.372078124583309
ChestPress,PLXNA4,24,-0.613356623529168,0.00143629685525063,1,0.581113408523802
mrs_Musc,RBP4,19,-0.677040028813426,0.00145248454619379,1,0.372078124583309
M_mg.kg.min,CYB5B,26,0.600683760683761,0.00145753568633797,1,0.78180095364268
mri_SAT,APOC2,25,0.610769230769231,0.00148034447368734,1,0.462435831083617
mri_SAT,CAMK1,26,-0.599316239316239,0.00150239061430675,1,0.462435831083617
ChestPress,EIF4G3,20,-0.660934510367276,0.00151036623397999,1,0.581113408523802
LegPress,NUDC,21,-0.645570159651517,0.00157383515964472,1,0.456171455287138
VO2max.kg,LTBP4,19,0.670764086438212,0.00166962384430208,1,0.642387774095224
mri_IP,NDUFS1,23,0.610328657129991,0.00198309031030912,1,0.999906809281029
LegPress,NDUFB4,17,0.693846196315895,0.00200481559196684,1,0.456171455287138
LegPress,RSU1,26,0.574030144886033,0.0021665129743312,1,0.456171455287138
M_mg.kg.min,GALK1,19,0.666666666666667,0.00238081904844729,1,0.78180095364268
LegPress,SH3PXD2A,20,-0.639438123414046,0.00239958959166736,1,0.456171455287138
mri_SAT,BET1,18,-0.682146542827657,0.00241504366530522,1,0.61945870015079
VO2max.kg,HSP90B1,26,0.568007051279509,0.00247014410190175,1,0.654821768529361
M_mg.kg.min,HIBCH,18,-0.680082559339525,0.00251438131976345,1,0.78180095364268
mri_VL,PPP1R3E,23,0.608695652173913,0.00251599309035111,1,0.935148547830613
VO2max.kg,ITM2B,17,-0.682209102494907,0.00255291137828211,1,0.654821768529361
LegPress,DOK2,24,0.586031788434452,0.00261904686715001,1,0.456171455287138
LegPress,ABLIM1,21,-0.62089324769944,0.00266766932916455,1,0.456171455287138
