Genes,int_est,p_int,n_ID,q_int
IGLV2-18,0.354823265257039,0.260428297339249,26,0.997755451486575
IGLV3-9,0.00542495977769981,0.986713202643451,26,0.997755451486575
IGKV2-28;IGKV2D-28,0.365980609651512,0.317350418189033,26,0.997755451486575
IGKV2D-29,-0.244865716552368,0.297879212619328,26,0.997755451486575
IGKV1-27,-0.0280528383526764,0.94194937126781,26,0.997755451486575
IGKV3D-15,-0.473623583761508,0.163461633484653,26,0.997755451486575
IGKV3-11;IGKV3D-11,-0.10970818469322,0.84385227922237,26,0.997755451486575
IGHV3-49,-0.11557784530378,0.797467307928897,26,0.997755451486575
IGKV6D-21,-0.710025985563736,0.114067095942235,23,0.997755451486575
IGLV1-36,-0.0233329861652199,0.964392844108224,22,0.997755451486575
IGHV3-15,0.409247395265342,0.453783108251196,25,0.997755451486575
IGHV2-26,0.294169395885197,0.650035661233331,26,0.997755451486575
IGHV3-74,0.374743908637947,0.434134763960896,25,0.997755451486575
IGKV6-21,0.104623427747639,0.840329116505867,26,0.997755451486575
IGHV1-18,0.06373195107241,0.900003627967212,26,0.997755451486575
IGHV1-24,0.440577169801447,0.204473540978046,26,0.997755451486575
IGHV4-28,1.02146939926074,0.185570986201355,26,0.997755451486575
IGHV5-51,0.856569270339208,0.179210086879694,26,0.997755451486575
IGKV1-8,0.543023682500431,0.315350315820252,25,0.997755451486575
IGKV1-6,-0.197849803640772,0.575467444217222,24,0.997755451486575
ESYT2,-0.222069527820206,0.136984507555685,26,0.997755451486575
IGLC7,0.385565695514062,0.126679906501274,26,0.997755451486575
SSC5D,0.230498216957264,0.599269039684613,26,0.997755451486575
NBAS,0.173268977686409,0.342654062262053,26,0.997755451486575
DENND3,0.195180185078715,0.159859975808129,26,0.997755451486575
CNOT1,0.13632951649673,0.305872969772922,26,0.997755451486575
NACA,0.159303165052906,0.659822737663693,25,0.997755451486575
AGPS,0.0133824740478718,0.944397192340752,26,0.997755451486575
KIF2A,0.120906109714334,0.537875758528848,26,0.997755451486575
PDLIM1,0.0494288461316554,0.820814511054135,26,0.997755451486575
MYO1C,0.110193713884667,0.541736139205261,26,0.997755451486575
SNAP23,-0.235356502881205,0.606388130777532,26,0.997755451486575
STXBP3,-0.583990569530457,0.0300355777466779,25,0.997755451486575
MASP2,-0.474663156867549,0.123433772285633,26,0.997755451486575
RAB27B,0.267466325761262,0.277900437675577,26,0.997755451486575
AP3B1,0.0861490009124513,0.650058098068188,26,0.997755451486575
NDUFS8,0.412605259586884,0.151124417404566,26,0.997755451486575
PSMD11,0.205628928081373,0.0431636536505697,26,0.997755451486575
PSMD12,0.170616742449519,0.344244165371505,26,0.997755451486575
PGRMC1,-0.0311503485940028,0.915861562069217,26,0.997755451486575
CLIC1,0.208837340502762,0.232807927421653,26,0.997755451486575
QSOX1,-0.0666204468484992,0.811914157920141,26,0.997755451486575
IPO5,-0.119166463508809,0.528294034836071,26,0.997755451486575
DNM1L,-0.0351827962278991,0.769479180891438,26,0.997755451486575
GOLIM4,-0.0560545940728297,0.785924032580609,26,0.997755451486575
AGRN,-0.200441528936348,0.41745739272782,26,0.997755451486575
CHL1,-0.00689086910162108,0.981968228509684,26,0.997755451486575
VWA5A,-0.22723442008394,0.375691750183556,25,0.997755451486575
SDCBP,-0.0590298694006703,0.775208077400644,24,0.997755451486575
DDX3X,0.253781634657367,0.11375354147181,26,0.997755451486575
PODXL,-0.130207764995002,0.828723639941925,23,0.997755451486575
KPNA4,0.466691725886737,0.281784948362245,26,0.997755451486575
PPP6C,-0.223540553448517,0.350992452618012,26,0.997755451486575
C2CD2L,0.184929933459975,0.335360379528134,26,0.997755451486575
COX7A2L,-0.00668323514181099,0.975566762608599,26,0.997755451486575
AP3D1,0.0715053398732668,0.608879233260879,26,0.997755451486575
CCS,-0.265830972746376,0.269993077089902,26,0.997755451486575
ABLIM1,0.186353218653339,0.423720068074767,26,0.997755451486575
TOR1A,-0.286601672835829,0.239219806866419,22,0.997755451486575
ADAM10,0.138886163927049,0.696818385100446,26,0.997755451486575
PRMT5,-0.121756626076574,0.586809577109529,26,0.997755451486575
TPP1,-0.201220426033753,0.380373025474547,26,0.997755451486575
NRP1,-0.191423604360564,0.424219862268279,26,0.997755451486575
APOL1,0.162290637114646,0.739992362359719,26,0.997755451486575
PSMA7,-0.406112763998312,0.045185402241009,26,0.997755451486575
SCAMP3,0.250385800446849,0.230471947536591,26,0.997755451486575
MGST3,-0.195963243722899,0.421096711712342,26,0.997755451486575
IKBKB,-0.294678727606915,0.331083905504356,25,0.997755451486575
MYL12A;MYL12B,-0.185305711821591,0.711745830544849,26,0.997755451486575
PPP1R12A,0.171740312727912,0.171093248327132,26,0.997755451486575
XPO1,-0.0826283215793952,0.723482504751339,26,0.997755451486575
PLXNB2,-0.107208261001522,0.422541477749027,26,0.997755451486575
PFAS,0.329308289227807,0.0926591018787526,26,0.997755451486575
ANKRD28,0.137597049809605,0.449030457605175,26,0.997755451486575
LSM1,0.368621007948736,0.382347772282236,26,0.997755451486575
FYB1,0.010254907211172,0.941626522257693,26,0.997755451486575
SCAMP1,0.27435242243875,0.0997804200974998,26,0.997755451486575
SCAMP2,0.0133752212940291,0.947297219920086,26,0.997755451486575
ARPC1B,0.226338900462501,0.450204232431779,26,0.997755451486575
ARPC2,0.114022716481646,0.142398686943922,26,0.997755451486575
ARPC3,0.0423891298956705,0.917750796068817,26,0.997755451486575
BET1,-0.0912457861957259,0.796452256122893,23,0.997755451486575
PGRMC2,0.327829702953505,0.183243526022362,26,0.997755451486575
ZNF185,-0.0470753179887152,0.808524870299938,26,0.997755451486575
SURF4,0.0977685359815177,0.693141239617658,25,0.997755451486575
SPTLC1,-0.0746047166894429,0.745957080425745,25,0.997755451486575
INPP4B,0.180356598060549,0.316294759380385,26,0.997755451486575
INPPL1,0.110590836590314,0.463386614131006,25,0.997755451486575
EIF3D,0.024345770395736,0.836217447414182,26,0.997755451486575
EIF3H,0.0212450817016418,0.922767285293373,26,0.997755451486575
STX7,0.0404348422999187,0.863199963555858,26,0.997755451486575
ABCC4,0.07782015227374,0.717233475172791,26,0.997755451486575
TAPBP,0.23063645143995,0.30978089300354,26,0.997755451486575
CLDN3,0.35298196109367,0.286015828184229,26,0.997755451486575
ZZEF1,0.196075171400633,0.153001387551308,26,0.997755451486575
ASAP2,-0.040240901687295,0.81024291704685,26,0.997755451486575
PLXNB1,-0.326004229692437,0.217045839267465,26,0.997755451486575
CYB5B,0.769196743149971,0.012975456789213,26,0.997755451486575
ARHGAP6,-0.0607927685012823,0.714862030482118,26,0.997755451486575
PSMD3,-0.00888585760397024,0.939246841028297,26,0.997755451486575
TGFB1I1,0.281526239344271,0.222672700104105,26,0.997755451486575
ADCY6,-0.0341789648522283,0.868775592196327,26,0.997755451486575
MTSS1,0.437176699661929,0.0684624096004118,26,0.997755451486575
TXNL1,-0.242234942374349,0.362384624768726,26,0.997755451486575
EIF4G3,-0.0583120757201398,0.821800696795985,25,0.997755451486575
AKR7A2,0.0342430886435097,0.832413679841497,26,0.997755451486575
NCK2,-0.019642537462332,0.937249047235024,25,0.997755451486575
GET3,-0.189329220764533,0.292577968860793,26,0.997755451486575
ACTN4,0.0231807016338566,0.8681246240642,26,0.997755451486575
STRN,-0.278842623694716,0.161531943147146,26,0.997755451486575
CALU,0.123872779821571,0.621846815008286,26,0.997755451486575
AHCYL1,0.169207308124424,0.369753228190831,26,0.997755451486575
KALRN,0.0591276441859405,0.751844135045913,26,0.997755451486575
PLIN1,-0.467088277920068,0.185389178139688,26,0.997755451486575
PRPSAP2,-0.179375762839644,0.419965010191803,25,0.997755451486575
KIAA0513,-0.190938221823674,0.510897227826541,26,0.997755451486575
SPAG9,0.131781649583383,0.411781069276436,26,0.997755451486575
SUSD5,0.230841155308937,0.401436510275948,26,0.997755451486575
OPA1,0.0217668301301548,0.85382765259919,26,0.997755451486575
PIP5K1C,0.145951048860537,0.335998410629728,26,0.997755451486575
NRP2,-0.386589344208618,0.118217290252208,26,0.997755451486575
ACSL4,0.217752237593797,0.433810223216553,25,0.997755451486575
DOK2,-0.154745913765273,0.379526255627285,26,0.997755451486575
DIAPH1,0.275382724737037,0.0623324446832807,26,0.997755451486575
SELENOF,-0.245970584930251,0.249804272718186,25,0.997755451486575
PLIN3,0.254845630620855,0.173085945317889,26,0.997755451486575
SLC16A7,-0.289336378995919,0.395166942985046,24,0.997755451486575
JAK2,0.0613951592901578,0.73334795857003,25,0.997755451486575
TPST2,-0.274866031131328,0.2298106002336,25,0.997755451486575
SNX2,0.0400985256280969,0.811288206060182,26,0.997755451486575
DPM1,-0.0959060094953518,0.607457655720592,26,0.997755451486575
USO1,0.156366031284873,0.572635494827676,26,0.997755451486575
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,1.03734137713562,0.133871596892154,26,0.997755451486575
TMCC2,0.142633081230401,0.545233370284357,26,0.997755451486575
WDR1,-0.0103607701830495,0.954822735352237,26,0.997755451486575
ROCK2,0.195010543779554,0.176414235063525,26,0.997755451486575
RAB11FIP3,-0.153288458131967,0.596468810014081,26,0.997755451486575
RTN2,0.103967520181872,0.760398549882483,26,0.997755451486575
FLNB,-1.8118304659411,0.0050878343316629,24,0.997755451486575
CS,0.277328122314549,0.296356426226943,26,0.997755451486575
SEC22B,0.1952566820537,0.627157496483838,26,0.997755451486575
NDUFS3,0.00180382849678356,0.99302097876205,25,0.998203505064155
STX11,-0.100112362294817,0.420321920080551,26,0.997755451486575
SKAP2,0.00328743154401941,0.985956897629396,26,0.997755451486575
MYCBP2,0.261989464718087,0.164345391120449,24,0.997755451486575
FCN3,0.463559431657236,0.274634214976382,26,0.997755451486575
RP2,0.339567530767868,0.358203386403584,23,0.997755451486575
ATP6AP2,0.0535281116881865,0.82811986251165,26,0.997755451486575
GRAP2,0.21184786768609,0.129109551057548,26,0.997755451486575
EIF3G,-0.337290682965037,0.401492172794369,24,0.997755451486575
ZMPSTE24,0.190458573905916,0.359776151359384,26,0.997755451486575
ATRN,0.0545638913143815,0.901592634657484,26,0.997755451486575
ARL6IP5,0.392006689800364,0.35506049695315,26,0.997755451486575
ATP5PD,0.0228913748500998,0.931411828072131,26,0.997755451486575
FLOT1,0.0430865167870296,0.82592591387473,26,0.997755451486575
ATP5MG,0.30937662547877,0.248671673215385,26,0.997755451486575
PDE5A,0.0536222559929518,0.761721471356513,26,0.997755451486575
ECM2,-0.44921045050398,0.145376197482006,26,0.997755451486575
STK10,0.197291971026266,0.219954528980916,23,0.997755451486575
TOMM70,0.259677049130985,0.108502653696629,26,0.997755451486575
ENDOD1,-0.100245053697191,0.704229252359948,26,0.997755451486575
ABLIM3,0.193029577482366,0.196331256661704,26,0.997755451486575
SEC31A,0.055517086289794,0.765323139594211,25,0.997755451486575
CLSTN1,-0.356633430829846,0.238291742494828,26,0.997755451486575
MFN2,0.144369492586019,0.518034403292942,25,0.997755451486575
NDUFB4,-0.209717565989827,0.233888447287327,25,0.997755451486575
RTN3,-0.155004517211529,0.606108217075111,26,0.997755451486575
VAPB,-0.0747631325123748,0.751338135364479,26,0.997755451486575
NDUFA10,0.0138666189607969,0.926162349958808,24,0.997755451486575
IPO7,0.188138721819511,0.418915845969193,26,0.997755451486575
APOM,-0.135534137441631,0.668200199519589,26,0.997755451486575
GNAS,-0.148545424215498,0.663168842807508,23,0.997755451486575
MPC2,0.0679449816954416,0.764361316235434,26,0.997755451486575
ACSL3,0.0641034207690533,0.688569101182223,26,0.997755451486575
ASMTL,-0.0756709575010023,0.694777584035747,23,0.997755451486575
CDS2,0.0883363275999792,0.702227231751116,26,0.997755451486575
SNAP29,0.274136093254198,0.108313767043185,26,0.997755451486575
AP2A1,-0.114480141587533,0.456298465614552,26,0.997755451486575
CAVIN2,-0.118066505161602,0.523594555946729,26,0.997755451486575
MLYCD,0.411612259256301,0.169590376462235,24,0.997755451486575
AIFM1,-0.166077851320717,0.128159611743034,25,0.997755451486575
MPIG6B,-0.46603353117985,0.420677919676305,26,0.997755451486575
ABHD16A,-0.245715943651311,0.413095761883743,26,0.997755451486575
EFEMP2,-0.00438681840060414,0.991325211922504,26,0.998203505064155
LDHA,0.217532017474607,0.323624806645778,25,0.997755451486575
GLUD1,0.121100473236557,0.481859588485074,26,0.997755451486575
CYB5R3,-0.19236563483992,0.481770948311905,26,0.997755451486575
GSR,-0.195456234073032,0.263575606403291,26,0.997755451486575
CP,0.371916392417206,0.0324401573739418,26,0.997755451486575
F8,-0.221321493345903,0.17805678482899,26,0.997755451486575
F13A1,0.300237033078916,0.117849690081408,26,0.997755451486575
PNP,0.288627951427964,0.133197058749812,26,0.997755451486575
HPRT1,-0.198242638866743,0.423532599975907,26,0.997755451486575
GOT2,0.127983177309553,0.655232919080525,25,0.997755451486575
PGK1,0.205169981959026,0.352399714250413,26,0.997755451486575
F2,-0.359268275167844,0.0100065285611192,26,0.997755451486575
C1R,-0.293895826627577,0.350243534464861,26,0.997755451486575
HP,0.405110841425222,0.328277320835985,26,0.997755451486575
HPR,-0.476223748950301,0.28554169050296,26,0.997755451486575
F9,0.264274443269188,0.25607118457563,26,0.997755451486575
F10,-0.187223279547696,0.482488299708369,26,0.997755451486575
CFD,0.143122756715552,0.620524723889635,26,0.997755451486575
PLG,0.257726200331895,0.446905716623086,26,0.997755451486575
F12,0.607939554253386,0.289682696617374,26,0.997755451486575
CFB,0.332792854972209,0.521831440006964,26,0.997755451486575
SERPINC1,0.181647519371101,0.682118523550309,26,0.997755451486575
SERPINA1,0.114433567500894,0.631198268429485,26,0.997755451486575
SERPINA3,0.266552529874518,0.431344908264908,26,0.997755451486575
AGT,-0.161063657993802,0.353653625211955,26,0.997755451486575
A2M,0.106086131075764,0.745552261965456,26,0.997755451486575
C3,0.0406281371490294,0.842899062565595,26,0.997755451486575
C5,0.427134448451764,0.241730531642364,26,0.997755451486575
KNG1,-0.151589518620417,0.216163142022054,26,0.997755451486575
LDLR,-0.221427646998523,0.438075833630587,26,0.997755451486575
EGF,0.286768403327151,0.0366054601961116,26,0.997755451486575
TGFB1,0.180798872363989,0.131698339672046,26,0.997755451486575
TG,-0.415817167433639,0.104909115846395,24,0.997755451486575
JCHAIN,-0.375636804735092,0.684468779925286,26,0.997755451486575
IGKV1-33;IGKV1D-33,-0.482630302401965,0.459307197537378,26,0.997755451486575
IGKV1-39;IGKV1D-39,0.0826566459322923,0.867467094936415,24,0.997755451486575
IGKV1-17,0.303884647858952,0.561365488654905,26,0.997755451486575
IGKV1-5,0.148196438235934,0.752217809928819,26,0.997755451486575
IGKV3-20,-0.0650986309318579,0.853995732323131,26,0.997755451486575
IGLV1-47,-0.489807401527264,0.402901492445869,24,0.997755451486575
IGLV3-19,-0.00330104131042418,0.995251615910426,25,0.998203505064155
IGLV3-25,0.0962037603311708,0.728746673035715,26,0.997755451486575
IGLV3-27,0.23886301557093,0.586340365311937,26,0.997755451486575
IGHV3-7,0.0809695135144521,0.890744452914472,26,0.997755451486575
IGKC,0.0708310604148749,0.776188970118752,26,0.997755451486575
IGHG2,-0.0958549163276055,0.759498765705208,26,0.997755451486575
IGHG3,0.627622302455795,0.426271942555845,24,0.997755451486575
IGHG4,0.300242000821964,0.444946242232473,26,0.997755451486575
IGHM,0.000428315385695006,0.997590753895378,26,0.999431619978059
IGHA1,-0.0355521460368763,0.785761806469961,26,0.997755451486575
HLA-B,0.174699902465204,0.528826914023497,26,0.997755451486575
LMNA,0.263610395747644,0.119488950798713,25,0.997755451486575
SPTA1,-0.274064895567661,0.391465361746417,26,0.997755451486575
APOA1,0.00612974613396835,0.948005399707435,26,0.997755451486575
APOE,0.01099031671905,0.942812866207448,26,0.997755451486575
APOA2,-0.110477819279743,0.674366110910995,26,0.997755451486575
APOC1,-0.157588583132132,0.64184486632629,26,0.997755451486575
APOC2,0.0217791535950694,0.93777730937735,26,0.997755451486575
APOC3,-0.029323900430626,0.91495791480824,26,0.997755451486575
