Genes,est_B2,est_B3,p_time,n_ID,q_time
SERPINE1,-1.23644974939857,-0.82385913428577,3.04981061575186e-18,26,4.53201857500726e-15
NUCB1,0.556891142379291,-0.163497549577337,3.0115255816881e-11,26,2.23756350719426e-08
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,1.86878790731417,-0.0537033234405977,1.34767242052143e-09,26,6.6754707229828e-07
H2AC11;H2AC12;H2AC14;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ,1.96029065056782,0.134210273682763,1.24820153340933e-08,26,4.63706869661565e-06
H4C1,1.54781718319647,0.104361330414448,3.94478161690792e-07,26,0.000107443185656234
IGFBP1,0.365235172056277,1.86932359544505,4.33821745583718e-07,26,0.000107443185656234
MMP9,0.373075169625168,0.721830162052102,2.08889149375208e-05,26,0.00443441822816513
IGLL1,-0.497647031366805,-0.00846235056706537,3.1937192699874e-05,26,0.00523442218180438
CD14,-0.437317580461995,0.0690716537418239,3.64842327744935e-05,26,0.00523442218180438
PTX3,-0.322390401349253,0.230539289436171,3.85949685691169e-05,26,0.00523442218180438
IGLV2-18,-0.472890172060842,0.246186308421717,3.87474051142989e-05,26,0.00523442218180438
ACTN4,0.270953945641589,0.052276813276494,6.60518670487374e-05,26,0.00817942286953531
IGF1,-0.421755674096017,0.499467127445588,0.000113700644257013,26,0.012996858258917
IGHV3-74,-0.79370626727639,-0.348697657621518,0.000130620280483013,25,0.0138644097712684
APMAP,-0.474306295325101,-0.284128796549916,0.000157896476067993,26,0.014753522556298
ACTN1,0.388023059016897,0.117453186340736,0.000158853540310072,26,0.014753522556298
EEF1A1;EEF1A1P5,0.213086302997634,0.29337613127876,0.000205770561091315,26,0.0174521159719792
FAT1,-0.47060407529756,-0.107061696687745,0.000211398443805939,26,0.0174521159719792
DMKN,-0.555832874155253,-0.325092048548595,0.000236360000849353,26,0.0178887816698697
MICAL1,0.229770218940861,-0.0254544350614864,0.000244229895399765,26,0.0178887816698697
SRGN,0.420027335808864,0.245173802127809,0.000252802432750514,26,0.0178887816698697
PIP4K2A,0.313017749660161,0.174722347172455,0.000277128288342819,26,0.0187187562035195
APOA4,-0.311921495412986,-0.14601002500481,0.000300789027041951,26,0.0194335867036669
ATP1A1,0.178517304850241,-0.0267225985215236,0.00044526581236215,26,0.0275693748820898
GOLM2,-0.446546387109231,-0.0786608699037247,0.000520519127262749,26,0.0309396569244978
PRKCA,0.27639088366257,-0.0071643451914337,0.000637555231196976,26,0.0336297298171022
GYS1,0.0630443962936869,0.365954444735656,0.0006494020199507,25,0.0336297298171022
C8B,-0.562572550599466,-0.25696225226714,0.000657031426853667,26,0.0336297298171022
F13B,-0.364284434644149,-0.0610406637327956,0.000672361760837288,26,0.0336297298171022
FMOD,-0.429817600433502,-0.0347459805163209,0.000686679646098745,26,0.0336297298171022
APOC3,-0.401826995759797,-0.0869625882525782,0.00070156233131236,26,0.0336297298171022
CHGA,-0.506883874803313,-0.11480694789824,0.000770262700717397,26,0.0351036673067247
CRP,-0.436198373879094,-0.247755906099391,0.000779556541804788,26,0.0351036673067247
FCN3,-0.588980972797945,-0.0611375495607373,0.00105442226633785,26,0.0460844555228838
PLXNA4,0.30215141059366,0.149560837137642,0.00113181233506266,26,0.0480535179972318
PSMB5,-0.403799751249445,-0.102525558032375,0.00120441237029591,26,0.0497154661738813
IGLC3,-0.528578077944559,-0.304847596063745,0.00129204706759868,26,0.0518914038500445
USP24,0.171569187355443,-0.0599966224729608,0.00145474582694392,26,0.0568882183904912
PTPRZ1,-0.447850392936965,-0.00724433224963127,0.00168806242457718,26,0.0643195067415819
ATP6AP2,-0.25070594269239,0.154987024029837,0.00238459217662639,26,0.086205277236857
SEPTIN11,-0.0940247945602092,-0.352001431246576,0.00249520426716605,26,0.086205277236857
MIA3,-0.500853738681827,0.105832543909607,0.00249695709713818,26,0.086205277236857
SERPINB1,0.122021875540593,-0.0444686721525708,0.00257397964522173,26,0.086205277236857
IGLV3-21,-0.56471264395903,-0.339099841665733,0.00262802596642674,25,0.086205277236857
IGKV1-27,-0.493211068918804,-0.0480848655477022,0.00264332257929582,26,0.086205277236857
SPTBN1,0.14908313584302,-0.057064334970182,0.00272587338658573,26,0.086205277236857
GNAI2,0.248711402439593,0.020794180492009,0.0027283329670001,26,0.086205277236857
CDH6,-0.447979472406008,-0.133334794495146,0.0028413177519191,26,0.086205277236857
A1BG,-0.639950363359922,-0.27292830401795,0.00284256970700269,26,0.086205277236857
GAPDH,0.33897186732488,0.229450498911132,0.00297888318518063,26,0.0880120149652951
QSOX1,-0.373287224044501,-0.170114749495751,0.00302060078279277,26,0.0880120149652951
SKIC3,0.263479953586455,0.0973684532064899,0.00317825782596,25,0.0882836596131723
HGFAC,-0.661229125078207,-0.26970884496852,0.00318683050495629,26,0.0882836596131723
FN3K,0.26856447020348,-0.0154056270910228,0.00321433697551045,26,0.0882836596131723
JAM3,0.289821351033846,0.00523600561174272,0.00326756479052791,26,0.0882836596131723
ADIPOQ,-0.70930948566777,-0.305641389034825,0.0033465719641471,26,0.0888036774771891
PLXDC1,-0.39954999502662,-0.0969695589639621,0.00356797940663574,26,0.0906100172139035
IGKV6D-21,-0.838276323431355,-0.39140507753653,0.00361747856990086,26,0.0906100172139035
NAP1L1,0.329601864292837,0.167650729631977,0.00365489232008794,26,0.0906100172139035
SERPINF2,-0.38839078503157,-0.242028536664544,0.00368052129935761,26,0.0906100172139035
C2,-0.646500969045112,-0.240158234784626,0.00381096282511763,26,0.0906100172139035
PDLIM1,0.27913195003751,0.0725810096226626,0.00387595919027283,26,0.0906100172139035
COLEC10,-0.504586979042858,-0.447440831776863,0.00394184460406243,26,0.0906100172139035
YWHAZ,0.334081469534238,0.0858891636396135,0.00396945864410625,26,0.0906100172139035
SHBG,-0.46498102348525,-0.00699355501184387,0.00409751205252288,26,0.0906100172139035
TNXB,-0.307265285660424,-0.110245197609028,0.00418157754706283,26,0.0906100172139035
APLP1,-0.607340676938052,0.10017877448961,0.00418530462032038,26,0.0906100172139035
GLUD1,0.0552618235014505,-0.198259845453869,0.00422208044185121,26,0.0906100172139035
STK24,0.23597023037322,0.0959919196602443,0.00427493380222861,26,0.0906100172139035
ATRN,-0.636467506381389,-0.244358047370717,0.00431257000114236,26,0.0906100172139035
HP,-0.559273872832229,-0.318996733593672,0.00433877191508549,26,0.0906100172139035
AGT,-0.279794504694619,-0.00249978417738293,0.00439025655410569,26,0.0906100172139035
IVL,-0.295103641536839,-0.00836455986670167,0.00451522965804175,26,0.0908882371283407
CAD,0.140968047348442,-0.177983694558445,0.00456764261544821,26,0.0908882371283407
C7,-0.619902216469434,-0.290376609114182,0.00458722596542769,26,0.0908882371283407
IGHV5-51,-0.657973124527715,0.0579640121930008,0.00487493733631809,26,0.0930867897465818
OGN,-0.414216323718866,0.0251843584281993,0.00494498051786681,26,0.0930867897465818
