Genes,est_ep,q_ep,est_se,q_se
A1BG,0.250256616361698,0.47171455447738,-0.00141923076923075,0.991977085134389
ABRAXAS2,-0.0792185006275877,0.775311534117363,-0.128838461538462,0.655830321130839
ACADM,-0.18331481550718,0.324515200959946,-0.152311538461538,0.568405053385556
ACADSB,0.243264470901235,0.153260965495906,-0.206707692307693,0.498135206528166
ACAN,0.288811191351561,0.14247738950773,-0.046103846153846,0.332050887842431
ACTN4,-0.242201134714537,0.0161201040585561,-0.0614346153846151,0.80369277005561
ADAMTS13,0.275294310791778,0.0408605071825396,-0.123619230769231,0.0145406687901794
ADAMTS8,0.549271668030731,0.110254644073677,-0.00480384615384604,0.9901260053216
ADAMTSL2,0.313070689446315,0.0822070388278004,0.00662692307692304,0.978629782474452
ADD1,-0.107844214601192,0.331684004161402,0.0467423076923068,0.900835851877962
ADGRF5,0.371360103469629,0.0341153376261279,0.0594538461538457,0.555210769570467
AFM,0.379489420675128,0.435818014099339,-0.0481307692307691,0.576282965250022
AGRN,0.202188009376846,0.266995471764712,-0.0443230769230768,0.675993500935364
AGT,0.278290311228057,0.0288318291732275,0.0485769230769227,0.429889850293386
AHCY,-0.241802363245084,0.0634765333940964,-0.0275846153846145,0.937303105471315
AHSG,0.319932236310397,0.506577674863857,0.0250346153846154,0.838685041977087
AIFM1,-0.193116604631097,0.0167101066695434,-0.149065384615384,0.655830321130839
AK2,-0.0549786377267776,0.744219797991414,-0.153157692307692,0.707819985599655
AKAP12,0.561485885337332,0.01633457848064,0.0159461538461537,0.927221241258597
ALCAM,0.342499015525856,0.122595572779218,-0.0230499999999999,0.671092325801322
AMBP,0.141831160618377,0.477006284674888,-0.0762653846153847,0.144566250881062
ANGPT1,0.115914833870549,0.351434421450015,0.00302692307692627,0.986167097431089
ANPEP,0.335451021264935,0.315770649383088,-0.0643653846153846,0.178050135223744
AP2B1,0.0130794319751528,0.937952575049008,0.139426923076923,0.727230130669694
AP3B1,0.0692452850941534,0.642224373649537,0.0805846153846153,0.798701947695096
APCS,0.01258969254659,0.949345940878553,-0.0366615384615382,0.74051179543019
APLP1,0.801805066100535,0.0201679506366785,0.0831192307692308,0.48481676450588
APOA1,0.113698741685082,0.0956952339154999,0.000784615384615384,0.999616497242442
APOA2,0.392460421980518,0.0408605071825396,0.118796153846152,0.762003527032385
APOA4,0.316101489439169,0.0517097892430426,0.0400923076923077,0.82353190212283
APOB,0.140492959735859,0.27992106200797,0.116026923076923,0.593856730084794
APOBR,0.36982911796159,0.018774921528463,0.0246384615384616,0.796703757523892
APOC1,0.386475124989776,0.118645522421439,-0.0217269230769235,0.86057719800065
APOD,0.605839576142732,0.0160685360952871,0.0350115384615384,0.784347574736749
APOE,0.15602364166687,0.164117665441389,-0.0276192307692308,0.909594048632095
APOF,0.0812207855093317,0.698897233603821,-0.058396153846154,0.74051179543019
APOH,0.266588585819046,0.423169514626163,-0.0653115384615383,0.655830321130839
APOL1,0.273876543800945,0.454171091725243,-0.0913269230769214,0.639696734650839
APOM,0.283450561631933,0.226084585343282,0.00819230769230759,0.946248364487087
APP,-0.128937854611251,0.418899443916715,-0.00223846153846097,0.995983106552402
APPL2,-0.190060761081816,0.254601978914303,-0.238003846153846,0.0914264220075128
ARHGAP45,-0.0973729666710944,0.371635638325369,0.00543846153846198,0.98165592881809
ARHGEF12,-0.200638558228094,0.295250661341945,-0.373753846153846,4.58682734864046e-05
ASPN,0.493601415477774,0.0055883506230472,-0.0671000000000002,0.671092325801322
ATP1B3,-0.0892479634993449,0.483040047110219,-0.0961961538461525,0.68904857427914
ATP5PO,-0.110168671376962,0.42853581064915,0.180573076923077,0.708451743338848
ATP6AP2,0.229531786115372,0.198557689037756,0.00786923076923115,0.9877287018047
ATRN,0.424146897870854,0.185320413862917,-0.00100384615384612,0.994957609689802
AXL,0.165226801235842,0.326182955729431,-0.023196153846154,0.812604501677811
B2M,-0.102082764348304,0.682873545267904,0.120819230769231,0.707819985599655
BAG6,-0.0722870851522865,0.556109194095639,0.0119230769230767,0.945372868201586
BAX,-0.113990371538949,0.472456425842375,0.267261538461538,0.262318645893843
BCR,-0.0144577561795304,0.934072215514381,0.00735384615384599,0.967340663353679
BGN,0.302017139294347,0.271960609618765,0.0675999999999996,0.758179413845161
