Genes,rho_SkM,rho_AT
ESYT2,0.081025641025641,0.0704347826086957
SSC5D,-0.225384615384615,-0.0770750988142293
NBAS,-0.52695652173913,-0.405985319028797
DENND3,-0.303359683794466,-0.196103896103896
CNOT1,-0.0237358101135191,-0.120588235294118
NACA,-0.00608695652173913,-0.0197628458498024
AGPS,0.0456140350877193,-0.0897832817337461
KIF2A,0.235384615384615,0.225296442687747
PDLIM1,-0.151452991452991,0.116521739130435
MYO1C,-0.00692307692307692,0.117588932806324
SNAP23,0.188461538461538,0
STXBP3,-0.0959752321981424,0.273477812177503
MASP2,0.547350427350427,0.184347826086956
RAB27B,0.137094017094017,0.00782608695652174
AP3B1,-0.0790513833992095,0.0841332580463015
NDUFS8,-0.31008547008547,-0.103478260869565
PSMD11,-0.0861538461538462,-0.162055335968379
PSMD12,0.156923076923077,-0.0773913043478261
PGRMC1,0.241538461538462,0.0484189723320158
CLIC1,0.237606837606838,-0.225217391304348
QSOX1,-0.531623931623932,0.185217391304348
IPO5,-0.104273504273504,0.200869565217391
DNM1L,0.246495726495726,0.217391304347826
GOLIM4,0.0576923076923077,-0.214426877470356
AGRN,0.00461538461538462,0.00494071146245059
CHL1,0.144615384615385,-0.290434782608696
VWA5A,-0.320158102766799,0.0781954887218045
SDCBP,-0.355882352941176,-0.102941176470588
DDX3X,-0.0469230769230769,0.139328063241107
PODXL,0.0766917293233083,0.440350877192983
KPNA4,-0.330321852060983,-0.348872180451128
PPP6C,-0.124675324675325,0.0781954887218045
C2CD2L,-0.0800395256916996,-0.119480519480519
COX7A2L,-0.212280701754386,0.0175438596491228
AP3D1,0.297571993224167,0.196992481203008
CCS,0.1,-0.0306324110671937
ABLIM1,-0.138961038961039,-0.424561403508772
TOR1A,-0.539731682146543,-0.473684210526316
ADAM10,0.131422924901186,-0.101298701298701
PRMT5,0.0473684210526316,-0.311274509803922
TPP1,0.0592885375494071,-0.179220779220779
NRP1,-0.0242735042735043,-0.328695652173913
APOL1,0.0557264957264957,-0.0139130434782609
PSMA7,-0.416752136752137,0.34695652173913
SCAMP3,-0.00592885375494071,-0.163636363636364
MGST3,0.174406604747162,0.017156862745098
IKBKB,-0.174025974025974,0.23609022556391
PPP1R12A,-0.27,-0.242094861660079
XPO1,-0.148034188034188,0.28695652173913
PLXNB2,0.146153846153846,-0.102766798418972
PFAS,0.0684615384615385,0.200592885375494
ANKRD28,0.249122807017544,-0.247549019607843
LSM1,0.0231507622811971,0.285714285714286
SCAMP1,-0.0269230769230769,-0.408102766798419
SCAMP2,0.349059829059829,-0.0278260869565217
ARPC1B,-0.294358974358974,0.106086956521739
ARPC2,0.101538461538462,-0.028695652173913
ARPC3,0.024957264957265,-0.159130434782609
