fenotype,NBAS,RAB27B,PSMD11,QSOX1,NRP1,ACTN4,KALRN,OPA1,NRP2,STX11,GRAP2,CLSTN1,CAVIN2,AIFM1,F8,AGT,LDLR,TGFB1,IGKV1-17,APOA2,IGF1,APOD,SERPINA5,TUBB,DCN,MGP,PLEK,CTSH,CHGA,LAMC1,IGF2R,ACTN1,NCAM1,PRG2,SELL,NME1,CD44,PECAM1,PRKCA,VCL,VCAM1,TNXB,EEF1B2,TNC,PTX3,PDIA3,CDH5,PRSS3,COL18A1,PIP4K2A,ARCN1,RPIA,THBS3,ACADVL,EMD,P2RX1,APLP1,CAPZA1,VCP,CDH6,ATP5MF,ACTR2,RAC1,TUBA4A,CCT2,RELN,FBLN2,HSPG2,AKAP12,EIF4G1,COL14A1,DPT,APOBR,DCTN2,FLOT2,LRRC32,FAT1,GANAB,LTBP2,KPNB1,SEC23A,STXBP2,MEP1B,SVEP1,HACD4,DMKN,VASN,GOLM2,CSPG4,ADAMTS13,ADGRG6,PLXDC1,ADGRF5,LTBP4,MUC20,GOLM1,MCU,ANGPTL6,CEMIP,ITLN1,SORL1,DCHS1,CNDP1,MMP19,PHB2,COL12A1,OMD,TMEM43,ASPN,UBE2O,CDH19,SLK,DOCK5,ADGRL4,PCDH18,PLXNA4,GP6,APMAP,MXRA5,THSD1,TUBA8,B3GNT2,TMOD3,PSMD13,CLEC11A,CNPY2,COLEC10
ΔBody weight (kg),-0.0108766610065601,-0.2907474300952,0.31826058795013,0.0790148898258721,0.108089632835392,-0.362237092318608,-0.0188570360454128,-0.137045928682657,0.0550709838180321,-0.0769674940629093,0.0411776093236565,-0.017786901605824,-0.209680205468656,-0.00601956528570171,0.121771864839872,0.0950915124311361,0.250144355704455,0.18984096906216,0.22062599107224,-0.042756975014,0.299760777340796,0.0834616152273281,0.132717650443456,-0.233282055676384,0.107247369790508,-0.0808138182420108,-0.160424170252528,0.126302905407402,0.21720543307112,0.255916917759174,0.401913913619225,-0.252779236282768,0.0998802936327041,0.018471013206048,0.040362584413216,-0.445014595945712,-0.0872242290285601,-0.034547635811312,-0.303061438899232,-0.158713891251968,-0.128270925042,0.0684111600224001,-0.003762613801232,0.27193436108904,0.252838217996657,0.140584933846032,-0.003762613801232,0.00883653388368787,0.182645520673533,-0.19155124806272,0.00153934988125819,0.0395550170591722,0.357790366917152,-0.0457956589674311,-0.334188516709424,-0.26996299142885,0.102843044353848,0.0899606754294561,-0.38652305412656,0.167789137057142,-0.020181292206608,0.036257914811872,-0.13340176204368,0.0964597356315841,-0.0513083700168001,0.30956049910136,0.187415848043184,0.469984669353889,0.0933812334305761,-0.225072716473696,0.193181921264542,0.0525423812669389,0.27169525404207,-0.255857738483776,-0.0519530584924638,-0.0752445660712713,0.294015827320314,-0.1368223200448,0.243602118709108,-0.2052334800672,0.0422014447054532,-0.16589706305432,-0.149716075707993,0.448435153946832,-0.121818603273473,0.245254008680304,0.181631629859472,-0.179183291224124,0.001026167400336,0.0731999412239681,0.223880683300712,0.198734419865072,0.343424023312448,-0.00790167117531925,-0.0700763179161492,0.133743817843792,-0.28390631409296,0.0564392070184801,0.11429672868342,0.161792393452976,0.19818067861351,0.180368233933006,0.18471013206048,0.279117532891392,-0.31469133610304,0.206272884088597,0.020181292206608,-0.0726560955238215,0.122113920639984,-0.177526960258128,0.293669847177123,0.045025984026802,-0.0623781808094983,0.112114403446194,0.038994361212768,-0.21243028361363,-0.416281908736304,0.0892765638292321,0.100827417222411,0.00714749988442168,-0.253805403683104,0.15734566805152,-0.125534478641104,-0.539792453491776,0.0400230969127129,-0.253607892937286,-0.0868821732284481
ΔBMI (kg/m²),0.13196884138593,-0.119945513051192,0.379870261942343,-0.148047033251757,-0.110692573472957,-0.165867509476505,0.0678752955348755,0.00348432584517308,-0.111720677870539,0.0744314320354033,0.17277347954332,-0.108293663211933,-0.0421522803008475,-0.0370375554689774,-0.0229609982126568,-0.179232866645067,-0.0582339183282171,0.250514771544061,0.107950961746073,0.0760797254210418,0.0510250960264864,0.028101520200565,0.126456840902542,-0.114804991063284,-0.0234682368826714,-0.180222248608415,-0.144277317127291,-0.214592315012575,0.13742328781008,0.0593908835930161,0.274750517065696,-0.0894450825896032,0.147361630320036,-0.20630628244805,0.117546602790168,-0.226525668933823,0.017477774758888,0.0726527107624363,-0.194311731142931,-0.0507198169473612,-0.0675121887745281,-0.0185058791564696,0.0157642674295852,0.00376971612446603,0.0497495063863576,0.000685402931721097,-0.187115000359859,0.110538221488949,-0.044242114203879,-0.143249212729709,0.295797452700282,-0.15617347397435,0.12474333357324,0.0586195734164834,0.0428376832325686,-0.0664191799103119,-0.0173224709289089,0.155586465500689,-0.196367939938094,0.0617048141226141,-0.0363263553812181,-0.0558603389352694,-0.0692256961038308,0.0606581594573171,0.0853326649992766,0.142221108332128,0.00694179158879409,0.240233727568245,-0.127142243834264,0.0829337547382527,-0.180878770361011,-0.10260851764394,0.0231393052959803,-0.158328077227573,-0.00771310176532677,-0.208067064254428,0.0401081291796992,-0.0380398627105209,0.104512528920178,0.0130226557027008,0.122983564781788,-0.117889304256029,-0.355147080298658,0.252228278873364,-0.0471000886398336,0.113776886665702,-0.0229609982126568,-0.285087141609295,-0.179232866645067,-0.128855751163566,-0.00705790166647445,-0.0373544597787998,0.00959564104409536,-0.125222211347495,-0.266252290005771,0.0215901923492146,-0.152844853773805,-0.128513049697706,-0.00655613650052775,-0.0229609982126568,0.150992907197348,0.138992336202821,0.0339274451201943,0.102467738292304,-0.175805851986461,0.0890863253895241,-0.0688829946379703,-0.283410774122055,-0.077450531284484,-0.0764224268869023,0.22503375683476,0.215195539252617,-0.00390498897924176,-0.125705763229321,-0.0620289653207593,-0.0906289457425895,-0.0592873535938749,-0.00719673078307152,-0.0215925104604283,-0.13207572328511,-0.136395183412498,-0.0322139377908916,-0.0901304855213243,-0.34349620655109,-0.178943960955581,-0.235635258930733,0.0527760257425245
ΔFat-free mass (kg),-0.0908893259146386,-0.108755136319077,0.124639356027478,-0.0478796197631155,0.0540355708755161,-0.0338577311182031,0.138488173363865,-0.165688197002284,-0.00547195654435606,-0.16041546747981,0.109251781209271,-0.0536935735914938,-0.164158696330682,-0.235426868849122,0.0218878261774242,0.0393296876625592,0.0284670134136833,0.362175123779567,0.0044459646922893,0.0321477446980918,0.102631009166769,-0.108071141751032,0.16244870991057,-0.0581395382837831,0.00584605422193668,-0.131036435612184,-0.0167578669170904,0.343137254901961,0.220246250910331,0.264281597502708,0.236624641784479,-0.0721614269286955,0.112517106443321,-0.0232558153135132,0.0338577311182031,-0.290697691418916,-0.0136798913608901,0.0273597827217803,-0.143638859289347,-0.258207949436801,-0.142954864721302,0.0208618343253575,0.205882364981397,0.11080712002321,0.100019236318347,-0.0239398098815577,-0.0663474731003172,-0.0441501223278945,0.132510562363898,0.00307797555620028,0.314675905032337,-0.0123548311159917,0.33686732476192,-0.0977111000956156,-0.161422718058504,-0.103806241056111,0.07462317994059,0.123119022248011,-0.158344742502303,0.101557993800167,0.0632694975441169,0.0666894703843394,-0.187414511644195,0.0995212096504758,-0.0547195654435606,0.184678533372017,-0.0542412012341803,0.34746924056661,0.0988372150824313,0.111149117307232,0.213622291021672,-0.0417961044625071,0.167339876148003,-0.145006848425436,-0.0350067327114213,-0.273034994863359,0.187343723411672,-0.0266757881537358,0.011158138571228,0.0307797555620028,0.123505112726112,-0.0923392666860085,-0.284976806175214,0.35054721612281,-0.110458798001522,0.0779753807570738,0.0981532205143868,-0.107942090250943,0.00410396740826704,-0.0417236686507149,0.0930232647691053,0.0495896061832268,0.195622446460729,0.151820988726936,0.0412312922400408,0.0119699049407789,-0.309507542040139,0.0304377582779806,0.147336028884334,0.185020530656039,0.145454545454545,0.017156862745098,0.201094403005085,0.158686739786326,-0.204514375845308,0.151567611959341,0.184336536087995,-0.103935640639228,0.160396726206437,-0.0300957609939583,0.221787350318018,0.234660515977659,0.0649561580215186,0.124812030075188,0.0885772965617637,-0.0184686431523774,-0.0465116306270265,0.190834484484417,0.0442477908859042,0.107177660735506,-0.13816690274499,0.0937072558220975,-0.020177839757313,-0.464162192150895,0.0719369122751185,-0.0246248575365032,-0.123803016816056
ΔM-value (mg/kg/min),0.375652173913043,-0.096068376068376,0.203846153846154,-0.0290598290598291,-0.201367521367521,-0.143931623931624,0.0538461538461539,0.168695652173913,-0.0379487179487179,-0.281538461538462,0.195384615384615,-0.0618803418803419,-0.114529914529915,0.102255639097744,0.00854700854700855,-0.0844444444444445,-0.188461538461538,-0.0406837606837607,0.112478632478632,0.0646153846153846,-0.06,0.0475213675213675,0.488547008547008,-0.10974358974359,-0.0155844155844156,-0.267080745341615,-0.143247863247863,-0.142156862745098,-0.0181196581196581,0.140769230769231,-0.0921739130434782,-0.198632478632479,0.107008547008547,-0.158290598290598,0.221196581196581,-0.0222222222222222,-0.237606837606838,0.126837606837607,-0.238974358974359,0.442735042735043,0.0652991452991453,0.0502564102564103,0.0338461538461538,-0.102222222222222,0.195384615384615,0.108376068376068,-0.0345299145299145,-0.161764705882353,-0.0675324675324675,-0.124102564102564,0.126923076923077,-0.0810276679841897,0.055042735042735,-0.0330769230769231,0.196581196581197,-0.115612648221344,0.0306324110671937,-0.16991452991453,-0.107008547008547,-0.00615384615384615,-0.065982905982906,-0.401709401709402,-0.314188034188034,-0.0434188034188034,0.0748717948717949,-0.011965811965812,-0.0253846153846154,-0.130940170940171,-0.0721367521367521,0.21982905982906,-0.126934984520124,-0.0626764539808018,-0.0969230769230769,-0.163760683760684,0.134615384615385,-0.0526315789473684,-0.0315384615384615,-0.277948717948718,0.237692307692308,0.197264957264957,-0.239130434782609,-0.436581196581197,0.281733746130031,0.0912820512820513,0.150434782608696,0.204786324786325,-0.215042735042735,0.0736842105263158,-0.0618803418803419,0.00717948717948718,-0.1,-0.0905982905982906,0.000341880341880342,0.43859649122807,-0.0423489553924337,0.0605128205128205,0.112478632478632,-0.268376068376068,-0.0430769230769231,-0.141196581196581,0.0558441558441558,0.370098039215686,-0.23965811965812,0.0707692307692308,0.0201709401709402,0.143846153846154,-0.170598290598291,-0.178260869565217,-0.0605128205128205,0.167179487179487,0.0991304347826087,-0.413846153846154,-0.202597402597403,0.13984962406015,0.00991452991452991,-0.286923076923077,0.249230769230769,0.068034188034188,-0.316153846153846,0.0558441558441558,-0.104273504273504,0.052991452991453,-0.0167521367521368,0.115612648221344,-0.251538461538462,-0.1,0.29025641025641
ΔVO₂max (mL/kg/min),0.105767200810381,-0.297690442538056,-0.113955779440977,0.229598030969007,-0.00581693968177811,-0.121471387472425,-0.201732528469838,0.0639826276507242,0.067065892801677,-0.289124291757344,-0.104331135907111,0.149871740036401,-0.0882806139940442,-0.160962779340933,0.0311377359436358,0.285714390252042,0.0512031036001687,-0.024294277494485,0.317878644963051,-0.110864026876242,0.0352557336034603,0.177245573833004,0.430111363529122,-0.33875119323296,0.0813009204851269,-0.236924183575542,-0.190590317808847,0.23053345841351,0.195038565800795,0.185563127332942,-0.0226333104614807,-0.236441489418157,0.192643355343593,-0.071514140793625,0.260735766912642,-0.0437981340745646,-0.173481671685971,-0.275107029655859,-0.326775140946947,0.398973627585487,0.110179681031327,0.229255858046549,0.212147211923672,-0.0160821273555042,0.309913521790495,0.289820465321533,0.19572291164571,-0.0176600489311578,0.166991588208761,-0.218306324527908,0.0473532461866222,0.136498583092714,0.173139498763513,-0.203272471435256,-0.14029089820759,0.0316518453548323,0.395452346880422,-0.458511716093098,0.165953867391905,0.0377286026527559,-0.0674080657241345,-0.666895025869737,-0.236783662340615,-0.0968349370554826,0.26518401490459,0.0585115697402386,0.190567941970553,0.00376390214703289,0.086227576459299,0.0465355174542249,0.151061033035577,-0.0882104358897007,-0.044273360255785,0.0260051421067727,0.035418688204628,-0.182229122320486,0.151299396352378,-0.234046278960954,0.320507911373549,0.4109496798715,-0.26202409418868,-0.465013001619791,0.559917654146427,0.207356791009267,-0.0652883955619635,0.362703297804988,0.0424294423847344,0.0421052631578947,0.135158304370727,0.173823844608428,-0.0421422462683694,0.108468816419039,0.205988099319437,0.670764086438212,0.112429396474418,0.0718563137160825,-0.0745936970957428,-0.0790419450876908,0.0427334172903664,0.0201882024249946,-0.00129912316043037,0.209687347812288,0.0629598177321866,0.173823844608428,-0.0369546756254139,0.216746972382669,-0.0369546756254139,-0.262459350159093,0.0585115697402386,0.143712627432165,0.14232870232508,-0.242926002794785,-0.372033012139941,0.471783429266871,0.216253286993163,-0.430414058834501,0.245337985402053,0.224123264209686,-0.219826858313506,0.259259313989477,-0.367151545796936,0.210094174388927,-0.202224197172404,-0.0444883890240475,0.0111645864992849,0.097767542441766,0.351069418441432
ΔChest press (kg),0.0586306218273365,-0.085422479114196,0.0781172160670147,0.235403882535895,-0.118489245222917,-0.269257952599585,-0.052226938741947,-0.282033508445291,-0.105105077988435,-0.185249398101778,-0.244618482312709,0.0397588497259622,-0.235403882535895,-0.0818982719646921,-0.134235324322308,0.236191186490864,0.140610988920626,-0.17478147800324,0.195251380832448,-0.252724569545225,0.298393187149603,-0.0968383864612544,0.52198252214481,-0.150768707376668,0.0177179596411524,-0.388670820132087,-0.314921581987819,0.221009881070731,0.159035398903849,0.0700823024144074,0.139284555645716,-0.301143762775852,-0.0543239728928988,-0.0602287525551704,0.142108363872003,-0.176749737890664,-0.316102537920274,-0.0744002237446223,-0.282642119834068,0.361372515331023,0.0984129943711935,0.0810923073618635,0.36688364301581,0.0161397310768757,0.0388354159876016,-0.0484191932306272,0.0133841672344823,0.243441167947016,0.138172414713665,-0.383023374092685,0.0535660910173815,-0.262876492572431,-0.0255873785365103,0.0745461433325226,-0.0090539954821498,0.0567473716845388,0.0752587908969935,0.073219267812168,-0.201943464449689,-0.201765609498804,-0.141714711894519,-0.29602628706855,-0.126755936750097,-0.0787303954969548,-0.0342477220411754,0.293270723226157,-0.10623941385114,0.149981403421699,-0.144076623759427,0.146044883646851,-0.18424737947737,-0.3394840330296,-0.0932942751886061,0.111009857650706,-0.0839202092605643,-0.0172354478594065,0.202658377682427,-0.119670201155371,0.0700804742446293,-0.0527493649829597,-0.238596805333942,-0.189346601170176,0.0752678384617574,0.131479760479915,0.00404349116050596,0.159822702858818,0.191708513035085,-0.0763394922968294,-0.0251937265590255,0.175175129980724,-0.0981253441548585,-0.0110222553695737,0.273194472374433,0.395028022701763,-0.0681348748006503,-0.125968632795128,-0.0295238983113581,-0.185803733372813,-0.102668341116648,-0.0921145627314371,-0.0822325495456959,0.413089319285541,-0.07833674351947,0.0566858847578075,-0.0177143389868148,0.0361571114367325,-0.0295238983113581,0.203842705361143,0.109828901718252,-0.105892381943404,-0.147587427358468,-0.395942689436812,0.21390311788264,0.094529005552529,0.0212572067841778,-0.613356623529168,-0.0263746824914799,0.353105823803842,-0.169625954888375,0.208271223615735,-0.242095966153136,0.275556384239342,0.0558985808028379,0.173641580106869,-0.274079832372269,-0.287273938583843,-0.045269977410749
ΔPull-down (kg),0.0749987331402075,0.00786354060449148,-0.138000120050105,0.0381381719317837,-0.242590227648562,-0.0420699422340294,0.196316299813213,0.00760122295339941,-0.286626055033715,-0.00133548503274295,-0.0489677845339081,0.055437961261665,-0.0306678083575168,-0.162447199139997,-0.456478532090731,0.249667414192605,-0.0235935689117921,0.265001318371363,0.015727081208983,-0.135646075427478,0.144535964038177,-0.0389245259922328,0.208383826019024,0.0345995786597625,-0.0191906131546756,0.0584221648918401,-0.0106157798160635,0.325487085391295,0.00825671763471606,-0.0480774611787461,-0.0892572970902423,0.0912170710121012,-0.241803873588113,-0.0782422290146903,-0.104978267069961,0.026736038055271,-0.320046102602803,-0.106157798160635,0.0896443628912029,0.207597471958575,0.0868921236796309,-0.104585090039737,0.518600502866213,-0.224897261288456,-0.150464647022372,0.0141543730880847,-0.0247701529041482,-0.0947366868222571,-0.135710100977148,-0.0216247366623516,0.0983807307453971,0.0610368051874047,-0.236299395164969,-0.0752323235111861,0.135646075427478,0.284512633372078,0.165168898866649,0.0617287937452582,0.117559932037148,-0.206109856719995,0.0133680190276355,-0.209170180079473,-0.130534774034559,0.0373518178713345,0.246128820920583,-0.153732218817809,-0.0903678205489395,0.0192656744810041,-0.202092993535431,0.363688752957731,-0.118364140421092,-0.165260949459215,-0.274219593389885,0.112055453614004,0.250180862800512,0.20108311560593,-0.20388404833209,0.0633015018661564,-0.236533392637656,0.225290438318681,0.12596889989664,0.097901080525919,-0.0226494127083426,0.0456085355060506,0.222128955258671,0.0861057696191818,0.0770626979240165,-0.0148599863440427,-0.173391070329037,-0.0680196262288513,-0.391249564648618,-0.149800448515563,-0.00314541624179659,0.272604518810728,-0.267152219383824,-0.34206401629538,-0.0228042677530253,-0.344423078476727,-0.213232443561291,0.079421760105364,-0.0690051360900754,-0.386549976889047,-0.0137611960578601,-0.131714305125232,0.107730506281533,-0.186077581228851,-0.193836275900715,0.309864821148512,0.115594046886025,0.224110907228007,-0.15670531147142,-0.0596516647958517,0.0260380876121559,-0.0285705341723788,0.12463711858119,-0.0934616963418452,0.148620917424889,-0.00511130139291946,-0.462710949492643,-0.0966742952698224,-0.0231974447832499,0.125816649671864,0.201699816505207,-0.0240434824568642,-0.0600968264734327,0.0863613654507106,-0.298028188910227
ΔLeg press (kg),-0.10655123426081,0.196947581090605,0.0965258159998788,0.0943564195120496,0.115972617436628,-0.201064952123859,-0.0687263809919137,-0.443235667109515,-0.0569569659600009,0.121622528159847,-0.331276600511584,0.109110332381207,0.0336251967715668,0.155649780440975,0.0250473404522895,0.0699953075653023,-0.145174827263818,-0.319439369329884,-0.122491788239279,0.150970271219279,-0.0309842847314869,0.0912683912371098,-0.0065191708026507,-0.0809749636539771,-0.0104543013628231,-0.191153414418827,-0.0507809094101213,-0.135302274179737,0.10705164686458,0.00810816854398982,0.0737998302872,-0.0782300496318084,0.104649847095182,-0.03465453952988,0.206554780168196,0.30228365669133,0.207584122926509,-0.03465453952988,0.0456341956185549,-0.038085682057591,0.0682797363014468,0.104306732842411,0.0476928811351815,0.0888665914677122,-0.0961397127358793,-0.00617605654987961,0.0185281696496388,0.569755513833965,0.0881213059180533,0.0157832556274701,-0.126641870591841,-0.0307618711811882,-0.0332820825187957,0.0660236581439171,0.0281353687272293,0.121619619909013,-0.115166333954657,-0.0579863087183141,-0.193516438562895,-0.00617765222399224,0.100189361809158,0.125579816514219,0.0147539128691569,0.0137245701108436,-0.0370563392992777,0.114943274678315,-0.0424713590399467,-0.00548982804433743,-0.00240179976939763,0.0723971073346999,-0.203004958922772,0.086661423069002,0.0181468534079772,-0.152342728230364,-0.0864871311358914,0.13540338696701,-0.0490351145279384,-0.00857785631927724,0.0204555460217013,-0.200721837871087,-0.159791813168412,-0.0195575124079521,-0.344402972859148,0.0768575926207241,0.226203030111063,-0.0734264500930132,0.19523200982675,-0.0959937084613198,0.0178419411440967,-0.015440141374699,-0.0502875493736305,0.0322527397604824,0.0524964806739767,-0.120706017064204,0.266898113621901,0.0144107986163858,-0.233660806137112,0.151999613977593,0.0737457234239074,0.0823474206650615,0.0677085629227625,0.289591636761698,0.0679366220486758,-0.0301940542438559,-0.00720539930819288,-0.0150580272959811,0.162636155813496,-0.0676862348787929,-0.0236748834412052,0.0109796560886749,-0.100305744325571,-0.0625487287679215,0.341071581962103,-0.216934253461154,-0.0675935077959047,0.100386848639874,-0.0658779365320492,0.249100947511811,0.193437735263757,0.168464886567369,-0.0555845089489165,0.0120089988469881,0.0171557126385545,0.284370082211151,-0.0779928593279021,-0.1324590924065,0.115286388931086
ΔVastus lateralis volume,0.0602766798418972,-0.339230769230769,0.152173913043478,0.0730769230769231,0.213076923076923,-0.193076923076923,-0.133913043478261,0.0889328063241107,0.123846153846154,-0.267826086956522,-0.00782608695652174,0.01,-0.128461538461538,-0.228070175438597,0.00615384615384615,0.196923076923077,0.331304347826087,0.116923076923077,0.22,-0.239230769230769,0.150197628458498,0.0907692307692308,0.102307692307692,-0.0946153846153846,-0.0675324675324675,-0.15974025974026,-0.203846153846154,0.379411764705882,-0.0246153846153846,0.225217391304348,0.112648221343874,-0.144615384615385,0.202307692307692,0.132307692307692,0.203076923076923,-0.379230769230769,-0.0553846153846154,0.000769230769230769,-0.234615384615385,-0.00538461538461539,-0.173076923076923,0.0984615384615385,0.263076923076923,0.216153846153846,0.309565217391304,0.225384615384615,-0.0553846153846154,-0.325,-0.00601503759398496,-0.253076923076923,-0.0617391304347826,-0.197063805759458,0.415384615384615,-0.0573913043478261,-0.258461538461539,-0.278373800112931,0.350649350649351,-0.290769230769231,-0.0769230769230769,0.0956521739130435,-0.0784615384615385,-0.186153846153846,0.0661538461538462,0.264615384615385,-0.127692307692308,0.317692307692308,0.170434782608696,0.380769230769231,0.243846153846154,-0.0546153846153846,0.205882352941177,0.012987012987013,0.102608695652174,-0.263076923076923,-0.129565217391304,-0.136842105263158,0.369565217391304,-0.2,0.0930434782608696,-0.0415384615384615,-0.0731225296442688,-0.25,-0.0154798761609907,0.315384615384615,-0.255928853754941,0.114615384615385,-0.0415384615384615,-0.106295149638803,0.223076923076923,0.296923076923077,0.205366357069143,0.0630769230769231,0.287692307692308,0.455108359133127,0.0428571428571429,0.195384615384615,-0.267692307692308,0.128461538461538,0.0408695652173913,0.244615384615385,0.203007518796993,-0.117647058823529,0.213846153846154,0.298461538461539,0.120769230769231,0.30695652173913,0.0953846153846154,0.0889328063241107,0.29,0.120769230769231,0.289525691699605,-0.0930434782608696,-0.452631578947368,0.354385964912281,0.0415384615384615,-0.217391304347826,-0.214615384615385,0.133076923076923,0.0486956521739131,-0.0947368421052632,-0.176923076923077,0.308461538461538,-0.0376923076923077,-0.440993788819876,0.162608695652174,-0.204347826086957,0.223076923076923
ΔIntraperitoneal fat (AU),0.164383565529825,-0.110104292941055,0.719753812121641,0.0912976590536079,0.0400068393605698,-0.194221237237638,-0.0719369122751185,0.0139160690395619,0.00170969398976794,-0.336603199148282,0.189267170263948,-0.104975210971751,-0.161737051432047,-0.127867628448405,-0.142588478746646,-0.0212002054731224,0.148105407625244,0.179859807723587,0.192853482045824,-0.150111132301625,0.131767778718352,-0.0981364350126797,0.252008894091794,0.00547102076725741,0.14030530132648,-0.220276766761862,-0.0827491891047682,-0.245098039215686,-0.0461617377237344,0.0373148689341524,0.144814093442941,-0.0889040874679328,-0.206531033963967,-0.0683877595907176,-0.114207558516498,-0.283809202301478,-0.244828179334769,0.278680120332174,-0.26876389519152,0.0106001027365612,-0.0311164306137765,-0.0694135759845783,0.153188581483207,-0.0212002054731224,0.239661477793577,-0.00957428634270046,-0.127543171636688,0.0794702201902101,0.0902890596499109,-0.221576341073925,0.051548375640994,-0.0780825326530677,0.0482133705114559,0.00269282559318626,-0.124465722455106,-0.326167541462181,0.125525084138476,0.0618909224295994,-0.159685418644326,-0.0130794385954761,-0.0287228590281014,-0.040690716956477,-0.17438878695633,0.106001027365612,-0.0335100021994516,0.0160711235038186,-0.0596268524205528,0.123781844859199,-0.0810394951150003,-0.054710207672574,0.0588235294117647,-0.0310646722356472,0.0207732260045797,-0.259531547646773,0.237738030941301,0.0579165140619246,0.108867091838816,-0.119336640485802,0.0946335851319741,-0.0991622514065405,-0.284844538153532,0.0143614295140507,0.0712442015438036,0.0789878623272788,0.160469671112448,0.0882202098720257,-0.102581639386076,0.106186934311903,-0.0212002054731224,0.154556336675022,-0.25274245522172,0.033168063401498,0.122072150869431,-0.0798595952263074,-0.382377874609693,0.0543682688746205,0.124123783657152,-0.200376135600802,-0.15002885447752,-0.0892460262658864,0.0051948051948052,0.187614995410995,-0.120704395677616,0.0153872459079115,-0.000683877595907176,0.0180804004113934,-0.199008380408988,0.0865405543397755,0.0362455125830803,0.153188581483207,-0.0539247675283023,-0.165416429295727,-0.253329016283923,-0.115789473684211,0.0960848022249582,-0.238892099052666,-0.0598392896418779,0.217131136700528,-0.0427005201205249,0.0136407931845189,-0.0427423497441985,0.107026843759473,-0.0499230645012238,-0.0924141367476181,-0.308905564475509,-0.263512218761798,-0.0748845967518357
