Genes,p_VO2_marg,p_M_marg,p_VO2_adj,p_M_adj
ACTR2,0.000198698965905197,0.0429060441652908,0.00220713434960634,0.775340970433422
INF2,0.148950391482124,0.307576735436832,0.00257731104179582,0.0044753792800902
ASAP1,0.175403743491625,0.23756258589096,0.00287262050644793,0.00363316202249903
FN1,0.0328925839518162,0.960035262047311,0.00337399377419183,0.0395990168066556
AHCY,0.0276542700983241,0.876677637827881,0.0035541736937133,0.0474527158443445
RABL6,0.004924145748951,0.416731196598883,0.00480174274430297,0.266557143248907
CDC42BPB,0.25928700606501,0.189853039686809,0.0056657908255759,0.00448593249547558
FLNA,0.110687624619459,0.548767332108401,0.00609352487407268,0.019837640703616
CD14,0.112306219582288,0.5487673321084,0.00630313367016729,0.0202850953770021
PLXNB2,0.249054315348283,0.39581598129407,0.00902778692094397,0.0125524034517138
PRG4,0.0178006059326084,0.487649305451151,0.0126318712556401,0.254207062188466
SND1,0.00564138814144614,0.200163382932088,0.0129674270367603,0.490421743657172
LTBP4,0.00166962384430208,0.0618137932661329,0.0145210343265055,0.914132484130214
MMRN1,0.0904902259605838,0.867320054933344,0.0157944505195634,0.077941103342877
PECAM1,0.173765617876451,0.535373594126569,0.0160100957600284,0.036057463830173
SCAMP2,0.40526027968678,0.189014906324605,0.0174413906503339,0.0099929468530281
CAPZA1,0.0184809236948101,0.40491319953926,0.0189574317353755,0.356373405942833
GNAI2,0.0215299155546322,0.43420970987472,0.0204931289899071,0.345053817696594
CLIC1,0.309430350387783,0.322398811766537,0.0216611545868412,0.0223895597188412
APLP1,0.0618006767917264,0.890472725689193,0.0223136795672225,0.165887977165844
AGT,0.157095500608555,0.680763888461994,0.0233735399868819,0.0658387215813179
EIF4A1,0.134700844122567,0.758543638593124,0.0263710442817849,0.089553767466134
POSTN,0.0351563417391059,0.533156684961965,0.0272229777797328,0.318200358710077
GAPDH,0.123691398923234,0.862062643401831,0.0276440583762213,0.106256053268475
HSP90B1,0.00247014410190175,0.0381993606932246,0.0300873203688768,0.762996534867135
HPR,0.0164117483753239,0.259870048021796,0.032109240088459,0.590706914271276
CETP,0.239285840176711,0.535373594126568,0.0324681044832973,0.0573567232503366
LPA,0.094718390225832,0.928127745882525,0.033812160131538,0.175211348333429
MEP1B,0.0156713259392897,0.2564312774108,0.03788832222539,0.825353261559097
APPL1,0.000427586480512295,0.00409353872780515,0.039247776933166,0.437209848355541
ITM2B,0.00255291137828211,0.0251943772063171,0.0397318384996592,0.454597882520737
IGHV1-18,0.454672547404863,0.252197775700662,0.0402134247858103,0.0265401676604604
ATP2A3,0.266554502465467,0.537594924073516,0.0413480944832245,0.0675957740576567
ADGRL4,0.0357189048462178,0.555118338354303,0.0423189648402808,0.590410045892233
IQGAP2,0.0818182933193185,0.75587544172499,0.044718419532546,0.269114634365398
XPNPEP1,0.34359821053617,0.507904102469207,0.0467089918805968,0.0607336120528062
NNT,0.283993346956182,0.542050783421674,0.0481247955924144,0.0754893744100725
SERPINF2,0.0448756984746277,0.460516189469515,0.0486429484891821,0.45713925197391
TUBA8,0.0650258488419159,0.610912303911759,0.0493509774425739,0.35667619501117
HADHA,0.29495396235072,0.528736191155591,0.0497374296990705,0.0746917472982458
C8B,0.0799098381313484,0.700534529769444,0.0507099871153356,0.312067900618426
VPS11,0.0533881698887138,0.652639089434789,0.0575180502416767,0.571146148456394
PLTP,0.145975186021183,0.981343963956892,0.0588898401638161,0.213943798240199
DYNC1H1,0.103637573230371,0.856360276947823,0.0600547776446762,0.307533832042374
KPNB1,0.0370208582047412,0.332522587336092,0.0609494318291336,0.623827684622863
SLC4A2,0.0109573089138923,0.097394884728615,0.0610625304013728,0.912005009455001
HSPA9,0.893086736393642,0.0665682564850402,0.0618688555691655,0.00957861294346285
ARFGEF1,0.0361640751808266,0.312017144683748,0.0636299493295154,0.636144637334535
CMTM6,0.393038572252627,0.483656536311333,0.0645928724606403,0.0743479474761018
APOC1,0.373452953820066,0.470855553435909,0.0674094164750685,0.0792369561983673
RTN3,0.327709264504066,0.555522803645244,0.0680898539927305,0.097787564050868
PTGS1,0.354648398515351,0.479398832208635,0.0701246948558046,0.086648250220859
IDH2,0.213283630864391,0.854187513629102,0.0715422873439539,0.180176315874061
EMD,0.494254884407832,0.334228695306478,0.0754296122924438,0.0577598216750474
ORM2,0.17826100867723,1,0.0776285300703143,0.240360973088042
AGPS,0.00978112569333263,0.0574116154748967,0.078862075315829,0.613175988643519
COL6A3,0.234471480820034,0.833256795926601,0.0799423341170609,0.185279474233273
ITGA2B,0.0512501195103032,0.362254125394369,0.0804827991925307,0.649736454696951
TUBB,0.0904902259605838,0.592190512423855,0.0817539798351449,0.454866775941581
BPIFB1,0.402945232136355,0.3913479130141,0.0821102175952566,0.0806803491612279
RAB5C,0.0563594914504335,0.389761315056113,0.0821268928169597,0.624837139380127
CCT5,0.703587171157107,0.182077761317634,0.0871558811497872,0.0341206099149603
STOML2,0.154519598654514,0.940028445463537,0.0877363108110787,0.320279585093575
ACTR1B,0.377539701396916,0.519547625898551,0.0907342005187243,0.113100218384332
SUSD5,0.0593088868954815,0.367660640877496,0.0939787993337343,0.678840947392625
BTD,0.575982173147075,0.299531136679224,0.0947728744663804,0.0607551344290816
MADD,0.241459357787944,0.95583886490317,0.0950347279016618,0.222549133382002
MYH9,0.245570952261745,0.869950876415986,0.0950726745728237,0.217495901345662
ANTXR1,0.183904361194914,0.988644224185362,0.0972406408673487,0.301759039917389
PLEC,0.503948900360996,0.566861261673279,0.0993042498114143,0.106766521625751
TXNDC15,0.191039080084337,0.930783176960286,0.102515095675327,0.30870513576545
PTPRZ1,0.359359001802006,0.545466071342344,0.103810212701332,0.13875663649749
MYO5A,0.0905047964486124,0.514740141151823,0.105264843649133,0.591332033457759
IGKV1-33;IGKV1D-33,0.888842066187183,0.0996220995850002,0.107941035084207,0.0232567495723965
IGKV6-21,0.0537574129467138,0.294768598233365,0.108266040903622,0.802315183793696
QSOX1,0.259192418922723,0.888403563099957,0.108947733516784,0.24194183791905
PLXNA4,0.0317356573280912,0.163981523106155,0.109437945542728,0.954984027759913
MAGED2,0.65016836477109,0.399457683148108,0.110284090448159,0.0819853146790131
TBXAS1,0.358108523995037,0.668511668744246,0.112745898925215,0.170226562880228
IGKV1-17,0.113531576230428,0.582924855347584,0.113102796169269,0.527620028742231
IGKV1-8,0.616307609541151,0.380464254099237,0.116437731395563,0.0858151750982473
QSOX2,0.142534604094513,0.678049042969517,0.116554024440849,0.437080922215456
UNC13D,0.163942178536488,0.760970997850125,0.12120784710956,0.425649292979768
PTPRG,0.401441641253394,0.617996890353082,0.122963929461481,0.163518410757321
PSMD11,0.587556439581646,0.32683682678046,0.124661710478846,0.0837963191741548
ACO2,0.87963978500162,0.0602129404256075,0.125357581556469,0.0167588345060705
GRB2,0.401258090407142,0.594198904897381,0.125866449439726,0.163818933017652
PSMD2,0.0475678886569689,0.22276727827734,0.126437687515931,0.989870763796053
CASS4,0.125889012109365,0.589868062023155,0.127175602518325,0.548569330900311
VCP,0.417810240955367,0.601520061759693,0.127276840112878,0.161946174743867
H4C1,0.0378700150610783,0.169527555314303,0.12768936119219,0.934490854475023
PTPRC,0.0514220487582877,0.240598950923585,0.127906832813024,0.96219620310983
SHBG,0.0912730247679876,0.410548295377995,0.128007673323225,0.628660275517019
FAT4,0.418784407821897,0.603862292317615,0.128652190663069,0.163826130498282
RAB27B,0.139675386823738,0.639452775774101,0.129291026282024,0.516514710168669
CTSH,0.373363678903755,0.585424444638834,0.129678678965426,0.175659095910529
DMKN,0.0685985198847054,0.314110393570189,0.132981268301444,0.828864466344054
CLU,0.134964393031426,0.599181749639429,0.136104198609884,0.557215511806307
PSMC5,0.15185295186321,0.681281620543494,0.136796984605136,0.521241666389539
CPN2,0.168258618719748,0.703019845334904,0.143383649781136,0.496741567342124
IGLL1,0.834352183190364,0.182077761317634,0.143999444140414,0.0514427804978239
KALRN,0.333537050867684,0.79810875574761,0.145769819756789,0.257035994968768
TUBB1,0.0998364834202746,0.424316941345838,0.146588766434663,0.727726063806157
CNDP1,0.759948998816808,0.237270266184272,0.147087458967419,0.0674257419798398
ME2,0.30868741598902,0.872840545887884,0.150347838955889,0.293624482522007
CNST,0.252108791962541,0.975055581703319,0.150802074673686,0.367634701231429
GRAP2,0.619677861628194,0.347665186243835,0.151750886219096,0.103126669369254
MICALL2,0.678370722938471,0.475415375940813,0.152009884866533,0.124030232203873
SPTBN1,0.244164990309494,0.914862603441187,0.154283211973614,0.389134011567729
GOLIM4,0.052675157802434,0.197742208989992,0.155340877515615,0.911357137842302
APOC3,0.330251600825051,0.867320054933344,0.155905192744932,0.287222542678611
ABLIM3,0.310605185726452,0.886904196368282,0.156081799883556,0.304795400159697
PDIA3,0.150957770201825,0.59684737486366,0.1581911005227,0.595065370285436
DKK3,0.516373066329623,0.603309347236642,0.160799070684536,0.177226299840366
ITGB3,0.439528760933897,0.656343102429612,0.160891801057015,0.208479857479616
DOCK5,0.0967722572079142,0.376752094925492,0.160953211726413,0.763703945166013
ATP6AP2,0.216226384604663,0.777687718529234,0.160990988588222,0.44405487945293
CDH5,0.337950034348323,0.867320054933344,0.16200956950143,0.293624869520234
CDH13,0.146468074091712,0.562316751954838,0.164976287036357,0.632973731078204
KIT,0.170501907514474,0.66778809500037,0.164980096398182,0.579060320723665
CCT2,0.190444938355446,0.715491430342142,0.165086933331053,0.520867329069925
C6,0.0990929627242735,0.376777234677105,0.166095889886394,0.812340160332938
DPY19L1,0.250946303749029,0.866179629366561,0.167475522007001,0.4063013201245
TOR1AIP2,0.571143127676948,0.438714389612174,0.167854786269363,0.141256529991041
TSG101,0.407288659535639,0.820705175048451,0.171042145235999,0.259575044646471
TTC27,0.0576553200050337,0.195087583866486,0.171867547015139,0.879781190210432
HSD17B4,0.179397392735771,0.656343102429611,0.173236112171766,0.573387378069004
LTBP1,0.149450438831305,0.5465241360305,0.175561163097138,0.662238490771046
DUSP3,0.455418686515495,0.731838033286396,0.177160513772017,0.236112734185068
AIFM1,0.497810618175783,0.667261987347762,0.178458624921508,0.213067111501552
PCDH18,0.288658721101436,0.962697658732127,0.179977239752231,0.395516933382433
EGF,0.0767222961841349,0.257458355455517,0.18201485376012,0.917252765333366
THBS1,0.552195034495534,0.530944212153597,0.184717282574013,0.180452326195435
OXCT1,0.195275913040516,0.704752624372068,0.185813494020513,0.578135063326742
SKIC3,0.119767832045291,0.45304066531114,0.186065055198163,0.993586665888605
CHGA,0.339675324506187,0.930783176960286,0.18627345117116,0.347864689887127
S100A9,0.0292258998512218,0.0699040134174225,0.186955786968278,0.548219989325264
C1QTNF3,0.384509829526053,0.833256795926601,0.187209598959959,0.303734550027706
ADGRF5,0.312705943238409,1,0.188816262409483,0.386208119772
NDUFA12,0.175603638141344,0.618661921909265,0.194505195713009,0.650742973010006
NSDHL,0.493511906331593,0.732977235409311,0.196001419883428,0.247713615500088
CPN1,0.412958188668724,0.807252721405815,0.200256424329883,0.304229714913512
RNF11,0.104310508335608,0.337406723110999,0.200535671009618,0.908440781255523
STXBP2,0.0166821517760983,0.026778662950557,0.202252965961492,0.342356072861283
ATP5F1B,0.272540135121161,0.859436107921478,0.20275267948651,0.479601419753179
FBLN2,0.361527006057117,0.904825456376501,0.205752193856165,0.365409558114366
THSD1,0.256431874445559,0.810404753550169,0.207296772176771,0.513757394510063
NSFL1C,0.0952955047375353,0.287069408549993,0.208194713242118,0.923151247542494
TNXB,0.259922633904265,0.807252721405815,0.209873847774859,0.519970885799075
H2AC11;H2AC12;H2AC14;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ,0.0905047964486124,0.267456234363811,0.210196455785388,0.971655665893313
COL18A1,0.469374410522952,0.771217903306402,0.210434895668035,0.282888360759548
FCGBP,0.251247853410613,0.781450322440744,0.210567210854688,0.537294915855079
CLTC,0.136365453968588,0.424316941345838,0.211046903003101,0.828617471872254
GP1BB,0.184573471988083,0.576018247368142,0.213736314869188,0.691381644210621
IGLV1-47,0.123349080628092,0.385324443650666,0.215864133191321,0.94604530842092
SYTL4,0.635550096789415,0.479214141477625,0.216310119308775,0.181003410912432
DBH,0.0726350581721829,0.197712110249366,0.21709325411671,0.848540987639934
TMOD3,0.32182352789892,0.936096217190601,0.2230293900952,0.457816206618808
SEPTIN7,0.599047961295795,0.542050783421674,0.223470749873154,0.210134477106891
CLSTN1,0.464927185787324,0.763522504992237,0.224660239962192,0.305660426041655
EEF1B2,0.298133606197775,0.869950876415986,0.225945023471989,0.499758934984472
RTCB,0.955217693234684,0.312678606386675,0.226081774761039,0.120769252362228
IARS2,0.10769399486289,0.302354844404821,0.229155572798169,0.951188954653349
HEG1,0.533276097692311,0.653919666215622,0.229244740455656,0.260700914637748
GPLD1,0.151968660761294,0.4402058006922,0.23001813917578,0.837818636994427
TOMM70,0.71295179903097,0.109621579442724,0.232594394847587,0.0532113326283851
VASN,0.836946667234793,0.290054684876189,0.233259536184328,0.117808831661251
CHL1,0.327709264504066,0.925473078279724,0.233628705336475,0.475174532357492
UQCRC2,0.823991371067447,0.304342294020606,0.235500681668462,0.12413572535825
HSP90AB1,0.11601180253038,0.314110393570189,0.236570450743793,0.992025814268806
NEO1,0.513584955679577,0.703019845334904,0.236979474765529,0.288160603385532
