Genes,cluster
SERPINE1,C1
NUCB1,C2
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,C2
H2AC11;H2AC12;H2AC14;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ,C2
H4C1,C2
IGFBP1,C3
MMP9,C3
IGLL1,C4
CD14,C4
PTX3,C4
IGLV2-18,C4
ACTN4,C3
IGF1,C4
IGHV3-74,C1
APMAP,C1
ACTN1,C3
EEF1A1;EEF1A1P5,C3
FAT1,C4
DMKN,C1
MICAL1,C2
SRGN,C3
PIP4K2A,C3
APOA4,C1
ATP1A1,C2
GOLM2,C4
PRKCA,C2
GYS1,C3
C8B,C1
F13B,C4
FMOD,C1
APOC3,C1
CHGA,C4
CRP,C1
FCN3,C4
PLXNA4,C3
PSMB5,C1
IGLC3,C1
USP24,C2
PTPRZ1,C4
ATP6AP2,C4
SEPTIN11,C2
MIA3,C4
SERPINB1,C2
IGLV3-21,C1
IGKV1-27,C4
SPTBN1,C2
GNAI2,C2
CDH6,C1
A1BG,C1
GAPDH,C3
QSOX1,C1
SKIC3,C3
HGFAC,C1
FN3K,C2
JAM3,C2
ADIPOQ,C1
PLXDC1,C4
IGKV6D-21,C1
NAP1L1,C3
SERPINF2,C1
C2,C1
PDLIM1,C3
COLEC10,C1
YWHAZ,C3
SHBG,C4
TNXB,C1
APLP1,C4
GLUD1,C2
STK24,C3
ATRN,C1
HP,C1
AGT,C4
IVL,C4
CAD,C2
C7,C1
IGHV5-51,C4
OGN,C4
IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61,C1
CFB,C1
SPP1,C4
IGFBP3,C4
SEC23A,C3
SUSD5,C4
ILF3,C1
B3GNT2,C4
NCKIPSD,C2
F8,C3
CAPN1,C2
IGFBP5,C4
MST1,C1
DSG2,C4
STAT5A,C2
FBLN5,C4
GOLIM4,C1
ARHGAP6,C2
C8G,C1
CSRP1,C3
IQGAP2,C3
VCP,C3
PLEK,C3
CAVIN2,C3
NEO1,C4
KIT,C4
HPX,C1
CLEC3B,C4
PRSS3,C4
PARVB,C2
ECPAS,C2
EMILIN2,C4
LCP2,C3
SCYL2,C2
SERPINA3,C4
MYH9,C2
VDAC1,C2
GNAQ,C3
MMP19,C4
PFKL,C2
DERA,C3
PGLYRP2,C1
CTSG,C3
LTBP2,C1
C8A,C1
LTBP1,C3
FCGBP,C4
NAPG,C2
MTTP,C1
AZGP1,C4
NCAM1,C1
CLSTN1,C4
VASP,C2
TUBA8,C3
PDIA3,C1
BABAM2,C3
CHL1,C4
ADGRL4,C4
PDLIM7,C3
CNPY2,C3
CKAP5,C2
SERPINA5,C1
RELN,C4
THBS3,C4
APOC1,C1
APP,C3
TUBB1,C3
IGHV4-28,C1
DBH,C4
NAPA,C2
DOK2,C2
C6,C1
UGP2,C2
A2M,C1
REEP5,C2
PDCD6IP,C2
ARCN1,C3
VCAM1,C4
TF,C1
TUBA4A,C3
TUBB4B,C2
C1QC,C1
HSP90AA1,C3
LRBA,C2
COX5A,C2
ASPN,C4
IDS,C4
EEF2,C3
STXBP2,C2
C1QB,C4
ADD1,C2
GANAB,C3
IGKV6-21,C4
PRKAR2B,C3
TLN1,C2
MXRA5,C4
LDLR,C1
TMED8,C3
WAS,C3
PACS1,C2
OSTF1,C3
HSP90AB1,C3
UBE2J1,C1
TG,C4
STOM,C2
UBE2O,C3
DPP4,C4
AXL,C4
TPM4,C2
TMOD3,C3
IGKV1-17,C1
SERPINC1,C1
VPS13C,C2
MYO5A,C2
ABCF1,C3
IGKV1-8,C1
STXBP3,C2
CETP,C4
TBC1D15,C2
PRUNE1,C3
SYTL4,C2
RTRAF,C3
VASN,C4
TUFM,C2
GPLD1,C4
TPP2,C3
ADGRF5,C4
IGKV2-28;IGKV2D-28,C4
TXNRD1,C3
CFHR1,C1
PLXDC2,C4
ACADM,C2
F13A1,C2
IGKV2D-29,C4
IGHV2-26,C1
SPARC,C3
CLTC,C2
IGF2R,C4
CFD,C4
EFNB1,C3
GRIPAP1,C2
IGHV3-15,C1
ITGA6,C2
KLKB1,C1
COL6A3,C1
EIF3C;EIF3CL,C2
VBP1,C3
APOA5,C4
GRB2,C2
ATP6V1A,C3
SERPINA7,C4
GUCY1B1,C3
HPRT1,C3
SLFN14,C2
SERPINA4,C4
DCHS1,C1
PFAS,C2
DCTN2,C3
TAPBP,C1
IGKV1-33;IGKV1D-33,C1
CTSH,C1
LCAT,C4
TOR1AIP2,C2
STX11,C2
YWHAG,C3
CDH15,C4
UTRN,C2
CPT1A,C2
ACAN,C1
