Genes,cluster
IGLV2-18,C1
IGLV3-9,C1
IGKV1-27,C1
IGKV6D-21,C1
IGHV2-26,C1
IGHV3-74,C1
IGKV6-21,C1
IGHV1-18,C1
IGHV1-24,C1
IGKV1-8,C1
NBAS,C2
MASP2,C1
RAB27B,C2
PSMD11,C2
PSMD12,C2
CLIC1,C2
QSOX1,C1
DNM1L,C2
GOLIM4,C1
CHL1,C1
AP3D1,C2
NRP1,C1
PLXNB2,C2
FYB1,C2
SCAMP2,C2
ARPC1B,C2
INPP4B,C2
ASAP2,C2
PLXNB1,C1
ARHGAP6,C2
AKR7A2,C2
ACTN4,C2
KALRN,C2
SUSD5,C1
OPA1,C2
NRP2,C1
ACSL4,C2
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,C1
WDR1,C2
STX11,C2
ATP6AP2,C1
GRAP2,C2
ATRN,C1
ARL6IP5,C2
TOMM70,C2
ABLIM3,C2
CLSTN1,C1
RTN3,C2
VAPB,C2
APOM,C1
CAVIN2,C2
AIFM1,C2
EFEMP2,C1
CYB5R3,C2
F8,C1
C1R,C1
HP,C1
HPR,C1
F9,C1
F10,C1
CFB,C1
SERPINC1,C1
SERPINA1,C1
SERPINA3,C1
AGT,C1
C3,C1
LDLR,C1
EGF,C2
TGFB1,C2
IGKV1-33;IGKV1D-33,C1
IGKV1-17,C1
IGKV1-5,C1
IGLV3-25,C1
IGHG2,C1
IGHG3,C1
IGHG4,C1
IGHM,C1
APOA1,C1
APOE,C1
APOA2,C1
APOC1,C1
APOC3,C1
CRP,C1
C1QB,C1
FN1,C2
RBP4,C1
CAT,C1
SOD2,C2
LCAT,C1
SHBG,C1
GAPDH,C2
RPN2,C2
GNAI2,C2
H2AC11;H2AC12;H2AC14;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ,C1
SLC4A2,C2
IGF1,C1
CHGB,C1
APOD,C1
ITGB3,C2
SERPINA5,C1
F13B,C1
RPLP2,C1
GSN,C2
ATP5F1B,C2
C2,C1
S100A9,C1
APOA4,C1
ITGAV,C1
GPX1,C2
PROS1,C1
CSF1R,C1
C8A,C1
C8B,C1
C8G,C1
TUBB,C2
IVL,C1
DCN,C1
PSAP,C2
LAMB1,C1
THBS1,C2
HSP90AB1,C2
SOD3,C1
CTSG,C1
MGP,C1
ITGA2B,C2
LPA,C1
PLEK,C2
CD14,C1
PTPRC,C2
SERPINF2,C1
CD63,C1
DBH,C1
CSF1,C1
DLD,C2
C4A,C2
IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61,C1
SRGN,C2
SPP1,C1
COX5B,C2
C7,C1
CHGA,C1
KIT,C1
HSPD1,C2
CLU,C1
LAMC1,C1
EPB41,C1
PYGB,C2
SPTB,C2
LAMP1,C1
FGFR1,C1
CETP,C1
IGF2R,C1
COL6A3,C1
ACTN1,C2
COX4I1,C2
GP1BB,C2
RNH1,C1
BMP1,C2
NCAM1,C1
C6,C1
PRG2,C1
ETFA,C2
SELL,C1
PRKCSH,C2
NID1,C1
HSP90B1,C2
CPN1,C1
GSPT1,C2
NME1,C2
IGLL1,C1
CD44,C1
ACAN,C1
PECAM1,C2
EPB42,C1
ATP2A2,C2
PRKCA,C2
ITGB5,C2
VCL,C2
PAM,C1
VCAM1,C1
ORM2,C1
ITIH1,C1
OGN,C1
FLNA,C2
VDAC1,C2
SDHB,C2
TNXB,C1
UQCRC2,C2
CPN2,C1
PTGS1,C2
ME2,C2
PTPRG,C1
PTPRZ1,C1
AHCY,C2
LAMA2,C1
EEF1B2,C2
TBXAS1,C2
IGFBP5,C1
TNC,C1
PSMA4,C1
PTX3,C1
DPP4,C1
CANX,C2
PSMB8,C1
PSMB5,C1
SERPINA4,C1
PDIA3,C1
PPP2R1A,C2
FCER1G,C1
SERPINB1,C2
UQCRC1,C2
CDH5,C1
SERPINB6,C2
SAA4,C1
FBN1,C1
MYH9,C2
HMGCL,C2
FLT4,C1
HSPA9,C2
COL18A1,C1
GP5,C2
MPL,C2
HADHA,C2
ACTR1B,C2
MTOR,C2
PI4KA,C1
LRPPRC,C2
WAS,C2
MCAM,C1
BTD,C1
GPD2,C2
PIP4K2A,C2
ARCN1,C2
LSS,C2
CCT5,C2
IDH2,C2
RPIA,C2
MAN2A2,C1
THBS3,C1
COMP,C1
ACADVL,C2
GNAQ,C2
EMD,C2
CPT1A,C2
LRBA,C2
RAB5C,C2
DUSP3,C2
P2RX1,C2
HSD17B4,C2
APLP1,C1
RAP1GDS1,C2
CAPZA1,C2
ACLY,C2
COPA,C2
CTSC,C1
EIF5,C2
PLTP,C1
VCP,C2
INHBC,C1
NAP1L1,C2
CDH6,C1
CDH13,C1
CDH15,C1
ATP5MF,C2
UBASH3A,C2
ANTXR2,C1
MTPN,C1
TPI1,C1
EIF4A1,C2
ACTR2,C2
PSMC5,C1
H4C1,C1
RAB1A,C2
RAN,C1
RAP1A,C2
GRB2,C2
RAC1,C2
YWHAZ,C2
TPM4,C2
ACTA1,C2
TUBA4A,C2
CCT2,C2
RELN,C1
GPLD1,C1
IGLV3-21,C1
FBLN2,C1
HSPG2,C1
CLTC,C2
SPTBN1,C2
GUCY1A1,C2
GUCY1B1,C2
OGDH,C2
AKAP12,C1
TAP1,C2
CFHR1,C1
EIF4G1,C2
PTK2,C2
FMOD,C1
DPT,C1
KLC1,C2
LRP1,C1
PCDH1,C1
FGL1,C2
APOBR,C1
NEXN,C2
ASPH,C2
EFEMP1,C1
FLII,C2
SPP2,C1
STK3,C2
PSMD2,C2
MMRN1,C2
NNT,C2
MADCAM1,C1
DCTN2,C2
IQGAP2,C2
ALCAM,C1
CAMK1,C2
DCTN1,C2
DYNC1H1,C2
FLOT2,C2
LRRC32,C2
GAS6,C1
SPARCL1,C1
FAT1,C1
ITPR2,C2
GANAB,C2
LTBP1,C2
LTBP2,C1
KPNB1,C2
RAB3GAP1,C2
POSTN,C1
PLEC,C2
PON3,C1
RCN1,C1
SEC23A,C2
TGFBI,C1
NSDHL,C2
STXBP2,C2
SEPTIN7,C2
DPYSL2,C2
DBN1,C2
MAN2A1,C1
HADH,C2
INF2,C2
EXOC3L2,C2
DPY19L1,C2
LRRFIP1,C2
EML3,C1
SVEP1,C1
GRIPAP1,C2
HSD17B12,C2
MIA3,C1
LY6G6F,C2
HECTD3,C2
UBR4,C2
HACD4,C2
DMKN,C1
VASN,C1
TTC27,C2
CNST,C2
TMED8,C2
APOA5,C1
CSPG4,C1
PLXDC2,C1
FAT4,C1
PACS1,C2
CD109,C1
NBEAL2,C2
UNC13D,C2
ADAMTS13,C1
SND1,C2
CYFIP1,C2
DOK3,C2
TAOK1,C2
CHST3,C1
HUWE1,C2
ABI3BP,C1
ADAMTSL2,C1
FERMT3,C2
PKHD1L1,C1
TDRP,C2
PLXDC1,C1
KSR1,C2
ALDH16A1,C2
ADGRF5,C1
MUC20,C1
TC2N,C2
GOLM1,C1
PCYOX1L,C1
PCSK9,C1
SCCPDH,C2
