Genes,module_centred,module_uncentred
IGLV2-18,M1,M1
IGLV3-9,M1,M1
IGKV1-27,M1,M1
IGKV6D-21,M1,M1
IGHV2-26,M1,M1
IGHV3-74,M1,M1
IGKV6-21,M1,M1
IGHV1-18,M1,M1
IGHV1-24,M1,M1
IGKV1-8,M1,M1
NBAS,M2,M2
MASP2,M1,M1
RAB27B,M2,M2
PSMD11,M2,M2
PSMD12,M2,M2
CLIC1,M2,M2
QSOX1,M1,M1
DNM1L,M2,M2
GOLIM4,M1,M1
CHL1,M1,M1
AP3D1,M2,M2
NRP1,M1,M1
PLXNB2,M2,M2
FYB1,M2,M2
SCAMP2,M2,M2
ARPC1B,M2,M1
INPP4B,M2,M2
ASAP2,M2,M2
PLXNB1,M1,M1
ARHGAP6,M2,M2
AKR7A2,M2,M1
ACTN4,M2,M2
KALRN,M2,M2
SUSD5,M1,M1
OPA1,M2,M2
NRP2,M1,M1
ACSL4,M2,M2
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,M1,M1
WDR1,M2,M2
STX11,M2,M2
ATP6AP2,M1,M1
GRAP2,M2,M2
ATRN,M1,M1
ARL6IP5,M2,M2
TOMM70,M2,M2
ABLIM3,M2,M2
CLSTN1,M1,M1
RTN3,M2,M2
VAPB,M2,M2
APOM,M1,M1
CAVIN2,M2,M2
AIFM1,M2,M2
EFEMP2,M1,M1
CYB5R3,M2,M2
F8,M1,M1
C1R,M1,M1
HP,M1,M1
HPR,M1,M1
F9,M1,M1
F10,M1,M1
CFB,M1,M1
SERPINC1,M1,M1
SERPINA1,M1,M1
SERPINA3,M1,M1
AGT,M1,M1
C3,M1,M1
LDLR,M1,M1
EGF,M2,M2
TGFB1,M2,M2
IGKV1-33;IGKV1D-33,M1,M1
IGKV1-17,M1,M1
IGKV1-5,M1,M1
IGLV3-25,M1,M1
IGHG2,M1,M1
IGHG3,M1,M1
IGHG4,M1,M1
IGHM,M1,M1
APOA1,M1,M1
APOE,M1,M1
APOA2,M1,M1
APOC1,M1,M1
APOC3,M1,M1
CRP,M1,M1
C1QB,M1,M1
FN1,M2,M2
RBP4,M1,M1
CAT,M1,M1
SOD2,M2,M2
LCAT,M1,M1
SHBG,M1,M1
GAPDH,M2,M1
RPN2,M2,M2
GNAI2,M2,M2
H2AC11;H2AC12;H2AC14;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ,M1,M1
SLC4A2,M2,M2
IGF1,M1,M1
CHGB,M1,M1
APOD,M1,M1
ITGB3,M2,M2
SERPINA5,M1,M1
F13B,M1,M1
RPLP2,M1,M2
GSN,M2,M2
ATP5F1B,M2,M2
C2,M1,M1
S100A9,M1,M2
APOA4,M1,M1
ITGAV,M1,M1
GPX1,M2,M2
PROS1,M1,M1
CSF1R,M1,M1
C8A,M1,M1
C8B,M1,M1
C8G,M1,M1
TUBB,M2,M2
IVL,M1,M1
DCN,M1,M1
PSAP,M2,M1
LAMB1,M1,M1
THBS1,M2,M2
HSP90AB1,M2,M2
SOD3,M1,M1
CTSG,M1,M1
MGP,M1,M1
ITGA2B,M2,M2
LPA,M1,M1
PLEK,M2,M2
CD14,M1,M1
PTPRC,M2,M2
SERPINF2,M1,M1
CD63,M1,M1
DBH,M1,M1
CSF1,M1,M1
DLD,M2,M2
C4A,M2,M2
IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61,M1,M1
SRGN,M2,M2
SPP1,M1,M1
COX5B,M2,M2
C7,M1,M1
CHGA,M1,M1
KIT,M1,M1
HSPD1,M2,M2
CLU,M1,M1
LAMC1,M1,M1
EPB41,M1,M1
PYGB,M2,M1
SPTB,M2,M2
LAMP1,M1,M1
FGFR1,M1,M1
CETP,M1,M1
IGF2R,M1,M1
COL6A3,M1,M1
ACTN1,M2,M2
COX4I1,M2,M2
GP1BB,M2,M2
RNH1,M1,M2
BMP1,M2,M2
NCAM1,M1,M1
C6,M1,M1
PRG2,M1,M1
ETFA,M2,M2
SELL,M1,M1
PRKCSH,M2,M1
NID1,M1,M1
HSP90B1,M2,M2
CPN1,M1,M1
GSPT1,M2,M2
NME1,M2,M1
IGLL1,M1,M1
CD44,M1,M1
ACAN,M1,M1
PECAM1,M2,M2
EPB42,M1,M1
ATP2A2,M2,M2
PRKCA,M2,M2
ITGB5,M2,M2
VCL,M2,M2
PAM,M1,M1
VCAM1,M1,M1
ORM2,M1,M1
ITIH1,M1,M1
OGN,M1,M1
FLNA,M2,M2
VDAC1,M2,M2
SDHB,M2,M2
TNXB,M1,M1
UQCRC2,M2,M2
CPN2,M1,M1
PTGS1,M2,M2
ME2,M2,M2
PTPRG,M1,M1
PTPRZ1,M1,M1
AHCY,M2,M2
LAMA2,M1,M1
EEF1B2,M2,M2
TBXAS1,M2,M2
IGFBP5,M1,M1
TNC,M1,M1
PSMA4,M1,M1
PTX3,M1,M1
DPP4,M1,M1
CANX,M2,M2
PSMB8,M1,M1
PSMB5,M1,M1
SERPINA4,M1,M1
PDIA3,M1,M1
PPP2R1A,M2,M2
FCER1G,M1,M1
SERPINB1,M2,M2
UQCRC1,M2,M2
CDH5,M1,M1
SERPINB6,M2,M2
SAA4,M1,M1
FBN1,M1,M1
MYH9,M2,M2
HMGCL,M2,M2
FLT4,M1,M1
HSPA9,M2,M2
COL18A1,M1,M1
GP5,M2,M2
MPL,M2,M2
HADHA,M2,M2
ACTR1B,M2,M1
MTOR,M2,M2
PI4KA,M1,M2
LRPPRC,M2,M2
WAS,M2,M2
MCAM,M1,M1
BTD,M1,M1
GPD2,M2,M2
PIP4K2A,M2,M2
ARCN1,M2,M2
LSS,M2,M2
CCT5,M2,M2
IDH2,M2,M2
RPIA,M2,M1
MAN2A2,M1,M1
THBS3,M1,M1
COMP,M1,M1
ACADVL,M2,M2
GNAQ,M2,M2
EMD,M2,M2
CPT1A,M2,M2
LRBA,M2,M2
RAB5C,M2,M2
DUSP3,M2,M1
P2RX1,M2,M1
HSD17B4,M2,M2
APLP1,M1,M1
RAP1GDS1,M2,M2
CAPZA1,M2,M2
ACLY,M2,M2
COPA,M2,M2
CTSC,M1,M1
EIF5,M2,M2
PLTP,M1,M1
VCP,M2,M2
INHBC,M1,M1
NAP1L1,M2,M2
CDH6,M1,M1
CDH13,M1,M1
CDH15,M1,M1
ATP5MF,M2,M2
UBASH3A,M2,M2
ANTXR2,M1,M1
MTPN,M1,M2
TPI1,M1,M2
EIF4A1,M2,M2
ACTR2,M2,M2
PSMC5,M1,M1
H4C1,M1,M1
RAB1A,M2,M2
RAN,M1,M1
RAP1A,M2,M2
GRB2,M2,M2
RAC1,M2,M2
YWHAZ,M2,M2
TPM4,M2,M2
ACTA1,M2,M2
TUBA4A,M2,M2
CCT2,M2,M2
RELN,M1,M1
GPLD1,M1,M1
IGLV3-21,M1,M1
FBLN2,M1,M1
HSPG2,M1,M1
CLTC,M2,M2
SPTBN1,M2,M2
GUCY1A1,M2,M2
GUCY1B1,M2,M2
OGDH,M2,M2
AKAP12,M1,M1
TAP1,M2,M2
CFHR1,M1,M1
EIF4G1,M2,M2
PTK2,M2,M2
FMOD,M1,M1
DPT,M1,M1
KLC1,M2,M2
LRP1,M1,M1
PCDH1,M1,M1
FGL1,M2,M1
APOBR,M1,M1
NEXN,M2,M2
ASPH,M2,M1
EFEMP1,M1,M1
FLII,M2,M2
SPP2,M1,M1
STK3,M2,M2
PSMD2,M2,M2
MMRN1,M2,M2
NNT,M2,M2
MADCAM1,M1,M1
DCTN2,M2,M2
IQGAP2,M2,M2
ALCAM,M1,M1
CAMK1,M2,M2
DCTN1,M2,M2
DYNC1H1,M2,M2
FLOT2,M2,M2
LRRC32,M2,M2
GAS6,M1,M1
SPARCL1,M1,M1
FAT1,M1,M1
