analysis,source,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,module,category,subcategory,neglog10q
M1,GO CC,GO:0030312,external encapsulating structure,72/250,159/1516,0.452830188679245,2.74596226415094,10.337200959416,5.70763829177211e-20,1.49540123244429e-17,1.39987339156095e-17,EFEMP2/F9/SERPINC1/SERPINA1/SERPINA3/AGT/APOA1/APOE/APOC3/C1QB/SERPINA5/APOA4/DCN/PSAP/LAMB1/SOD3/CTSG/MGP/SERPINF2/CLU/LAMC1/COL6A3/NCAM1/PRG2/NID1/ACAN/ORM2/ITIH1/OGN/TNXB/CPN2/PTPRZ1/LAMA2/TNC/PTX3/FBN1/COL18A1/THBS3/COMP/APLP1/CTSC/CDH13/RELN/GPLD1/FBLN2/HSPG2/FMOD/DPT/FGL1/EFEMP1/SPP2/SPARCL1/LTBP2/POSTN/TGFBI/VASN/CSPG4/ADAMTS13/ABI3BP/ADAMTSL2/PKHD1L1/ANGPTL6/SNED1/PRG4/MMP19/COL12A1/OMD/ASPN/CD248/MXRA5/ADAMTS8/FCGBP,72,CC,M1,,,16.8252422657627
M1,GO CC,GO:0031012,extracellular matrix,71/250,158/1516,0.449367088607595,2.72496202531646,10.1769505676514,1.96912508185313e-19,2.5795538572276e-17,2.41476917932515e-17,EFEMP2/F9/SERPINC1/SERPINA1/SERPINA3/AGT/APOA1/APOE/APOC3/C1QB/SERPINA5/APOA4/DCN/PSAP/LAMB1/SOD3/CTSG/MGP/SERPINF2/CLU/LAMC1/COL6A3/NCAM1/PRG2/NID1/ACAN/ORM2/ITIH1/OGN/TNXB/CPN2/PTPRZ1/LAMA2/TNC/PTX3/FBN1/COL18A1/THBS3/COMP/APLP1/CTSC/CDH13/RELN/GPLD1/FBLN2/HSPG2/FMOD/DPT/FGL1/EFEMP1/SPP2/SPARCL1/LTBP2/POSTN/TGFBI/VASN/CSPG4/ADAMTS13/ABI3BP/ADAMTSL2/ANGPTL6/SNED1/PRG4/MMP19/COL12A1/OMD/ASPN/CD248/MXRA5/ADAMTS8/FCGBP,71,CC,M1,,,16.5884554002766
M1,GO CC,GO:0062023,collagen-containing extracellular matrix,59/250,140/1516,0.421428571428571,2.55554285714286,8.58215294135544,2.05296769602441e-14,1.79292512119465e-12,1.67839113394276e-12,EFEMP2/F9/SERPINC1/SERPINA1/SERPINA3/AGT/APOA1/APOE/APOC3/C1QB/SERPINA5/APOA4/DCN/PSAP/LAMB1/SOD3/CTSG/MGP/SERPINF2/CLU/LAMC1/COL6A3/NCAM1/PRG2/NID1/ACAN/ORM2/ITIH1/OGN/TNXB/PTPRZ1/LAMA2/TNC/FBN1/COL18A1/THBS3/COMP/APLP1/CTSC/CDH13/FBLN2/HSPG2/FMOD/DPT/FGL1/EFEMP1/SPP2/SPARCL1/LTBP2/POSTN/TGFBI/CSPG4/ABI3BP/ANGPTL6/PRG4/COL12A1/ASPN/MXRA5/ADAMTS8,59,CC,M1,,,11.7464378477111
M1,GO CC,GO:0005788,endoplasmic reticulum lumen,38/250,93/1516,0.408602150537634,2.47776344086022,6.53436530703637,5.74810005075099e-09,3.7650055332419e-07,3.52449292585521e-07,QSOX1/F8/F9/F10/SERPINC1/SERPINA1/C3/APOA1/APOE/APOA2/CHGB/APOA4/LAMB1/CSF1/SPP1/CLU/LAMC1/COL6A3/PRKCSH/IGFBP5/TNC/PDIA3/FBN1/COL18A1/CTSC/ASPH/SPP2/GAS6/SPARCL1/GANAB/RCN1/MIA3/APOA5/ADAMTS13/GOLM1/PCSK9/COL12A1/HYOU1,38,CC,M1,,,6.42423438120175
M1,GO CC,GO:0032994,protein-lipid complex,17/250,29/1516,0.586206896551724,3.55475862068966,6.17096176988801,2.38786507451945e-07,8.93743785034423e-06,8.36650469718845e-06,APOM/HPR/LDLR/APOA1/APOE/APOA2/APOC1/APOC3/LCAT/APOA4/LPA/CLU/CETP/SAA4/PLTP/APOBR/APOA5,17,CC,M1,,,5.04878696520165
M1,GO BP,GO:0030198,extracellular matrix organization,28/242,57/1487,0.491228070175439,3.0184138031028,6.84876127746839,3.70275097044165e-09,2.31298510620255e-06,2.11901292378608e-06,QSOX1/EFEMP2/AGT/LAMB1/CTSG/SERPINF2/LAMC1/NID1/TNXB/LAMA2/PTX3/DPP4/COL18A1/COMP/APLP1/FMOD/DPT/LRP1/GAS6/POSTN/TGFBI/ADAMTS13/ABI3BP/ADAMTSL2/MMP19/COL12A1/ANTXR1/ADAMTS8,28,BP,M1,,,5.63582716373387
M1,GO BP,GO:0043062,extracellular structure organization,28/242,57/1487,0.491228070175439,3.0184138031028,6.84876127746839,3.70275097044165e-09,2.31298510620255e-06,2.11901292378608e-06,QSOX1/EFEMP2/AGT/LAMB1/CTSG/SERPINF2/LAMC1/NID1/TNXB/LAMA2/PTX3/DPP4/COL18A1/COMP/APLP1/FMOD/DPT/LRP1/GAS6/POSTN/TGFBI/ADAMTS13/ABI3BP/ADAMTSL2/MMP19/COL12A1/ANTXR1/ADAMTS8,28,BP,M1,,,5.63582716373387
M1,GO BP,GO:0045229,external encapsulating structure organization,28/242,57/1487,0.491228070175439,3.0184138031028,6.84876127746839,3.70275097044165e-09,2.31298510620255e-06,2.11901292378608e-06,QSOX1/EFEMP2/AGT/LAMB1/CTSG/SERPINF2/LAMC1/NID1/TNXB/LAMA2/PTX3/DPP4/COL18A1/COMP/APLP1/FMOD/DPT/LRP1/GAS6/POSTN/TGFBI/ADAMTS13/ABI3BP/ADAMTSL2/MMP19/COL12A1/ANTXR1/ADAMTS8,28,BP,M1,,,5.63582716373387
M1,GO BP,GO:0034375,high-density lipoprotein particle remodeling,10/242,11/1487,0.909090909090909,5.58602554470323,6.72855869603301,1.04919620017088e-07,4.91548419780055e-05,4.50326053283868e-05,APOM/APOA1/APOE/APOA2/APOC1/APOC3/LCAT/APOA4/CETP/PLTP,10,BP,M1,,,4.30843369572084
M1,GO BP,GO:0043691,reverse cholesterol transport,9/242,10/1487,0.9,5.5301652892562,6.33513993694322,6.05683440594911e-07,0.000182416763329467,0.000167118879396933,APOM/APOA1/APOE/APOA2/APOC3/LCAT/APOA4/CLU/CETP,9,BP,M1,,,3.73893525434661
