block,comp,feature
Plasma EP proteins,1,TMOD3
Plasma EP proteins,1,TNC
Plasma EP proteins,1,ATP5MF
Plasma EP proteins,1,SVEP1
Plasma EP proteins,1,ACTN1
Plasma EP proteins,1,RELN
Plasma EP proteins,1,TUBA8
Plasma EP proteins,1,COLEC10
Plasma EP proteins,1,RAC1
Plasma EP proteins,1,SERPINA5
Serum proteins,1,WASF3
Serum proteins,1,LMNB1
Serum proteins,1,MYOM3
Serum proteins,1,LACRT
Serum proteins,1,MINDY1
Serum proteins,1,RAB37
Serum proteins,1,ATXN10
Serum proteins,1,TCP11
Serum proteins,1,TXNL1
Serum proteins,1,DUSP29
Skeletal muscle mRNA,1,SPARC
Skeletal muscle mRNA,1,THBS4
Skeletal muscle mRNA,1,COL4A1
Skeletal muscle mRNA,1,EDNRB
Skeletal muscle mRNA,1,COL3A1
Skeletal muscle mRNA,1,COL4A2
Skeletal muscle mRNA,1,FABP4
Skeletal muscle mRNA,1,PXDN
Skeletal muscle mRNA,1,COL1A1
Skeletal muscle mRNA,1,LAMB1
Adipose tissue mRNA,1,ADAMTS4
Adipose tissue mRNA,1,CETP
Adipose tissue mRNA,1,GSDMB
Adipose tissue mRNA,1,MIR3960
Adipose tissue mRNA,1,MIR452
Adipose tissue mRNA,1,GNLY
Adipose tissue mRNA,1,NDRG4
Adipose tissue mRNA,1,MIR663A
Adipose tissue mRNA,1,NKG7
Adipose tissue mRNA,1,PKD1L2
