Genes,akutt,q_a,kronisk,q_c,strikt
IGKV1-33;IGKV1D-33,-0.752476045445827,0.237489778842346,0.88744090516947,0.060275039100655,FALSE
COLEC10,-0.504586979042858,0.0906100172139035,0.871243906168311,0.00571214542689547,FALSE
H2AC11;H2AC12;H2AC14;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ,1.96029065056782,4.63706869661565e-06,0.817390278303432,0.157228748003735,FALSE
APLP1,-0.607340676938052,0.0906100172139035,0.801805066100535,0.0201679506366785,FALSE
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,1.86878790731417,6.6754707229828e-07,0.788910923261351,0.122595572779218,FALSE
IGKV1-17,-0.593160367382179,0.196124579753931,0.770655012437687,0.043592475124822,FALSE
CTSH,-0.432908827123922,0.240087187484795,0.735011181976525,0.0055901035743884,FALSE
H4C1,1.54781718319647,0.000107443185656234,0.732416447484698,0.0688707459128668,FALSE
MIA3,-0.500853738681827,0.086205277236857,0.706343975088443,0.0518390465930685,FALSE
IGHV3-74,-0.79370626727639,0.0138644097712684,0.684874259492112,0.0517097892430426,FALSE
GOLM2,-0.446546387109231,0.0309396569244978,0.641711068547642,0.0055883506230472,TRUE
CFHR1,-0.675915823318819,0.209858186188909,0.637982653586732,0.164117665441389,FALSE
IGKV6D-21,-0.838276323431355,0.0906100172139035,0.636071981638171,0.0570989993283153,FALSE
CDH6,-0.447979472406008,0.086205277236857,0.633058487160948,0.00648137914431768,FALSE
IGHV2-26,-0.678625372872297,0.21979488007245,0.624237904089325,0.185320413862917,FALSE
PRSS3,-0.495023138428306,0.116035701475357,0.621351455048898,0.0291387055134898,FALSE
MXRA5,-0.357753342689788,0.193967021738645,0.595791877991551,0.00648137914431768,FALSE
IGKV1-8,-0.533703197551037,0.197565911870163,0.569779290422982,0.153260965495906,FALSE
SERPINA5,-0.370652850138879,0.156502482368136,0.564844065313143,0.0160685360952871,FALSE
C7,-0.619902216469434,0.0908882371283407,0.552338850666284,0.0828922682768763,FALSE
DCHS1,-0.342989369014973,0.234015042424946,0.540509045405785,0.0156825199071574,FALSE
IGF1,-0.421755674096017,0.012996858258917,0.538654089313378,0.0217056728449874,TRUE
VASN,-0.381231038486809,0.208245132318528,0.532288715237607,0.0408605071825396,FALSE
LCAT,-0.438732453907399,0.240087187484795,0.526790732157859,0.12023933487706,FALSE
TMOD3,0.26634688518809,0.195486207846381,-0.519910123944678,0.00554715131857844,FALSE
IGLV3-21,-0.56471264395903,0.086205277236857,0.518441953290553,0.114078460414498,FALSE
CFB,-0.755101439747366,0.0930867897465818,0.512001009132966,0.17793550742644,FALSE
IGKV6-21,-0.485685628658874,0.192254563848057,0.509726400227761,0.179403027714405,FALSE
ASPN,-0.217302221335776,0.182380368229021,0.493601415477774,0.0055883506230472,FALSE
ADGRL4,-0.253388514885516,0.154478988648082,0.488297427743311,0.00746091807814948,FALSE
TUBA8,0.366399310157993,0.151927101488957,-0.486483156426967,0.0119898704468154,FALSE
SHBG,-0.46498102348525,0.0906100172139035,0.484857056789378,0.0814961835033698,FALSE
TUBA4A,0.370567994118059,0.176447923925644,-0.48211024289932,0.0458027129936234,FALSE
DPP4,-0.38112293521859,0.19494917632591,0.481048862788579,0.0517097892430426,FALSE
CHGA,-0.506883874803313,0.0351036673067247,0.479752821279129,0.0226161760465772,TRUE
LTBP2,-0.335838333748368,0.129984378589839,0.477308346654165,0.0487297065171072,FALSE
GPLD1,-0.359816101166487,0.208245132318528,0.475986103300637,0.0661810478217187,FALSE
IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61,-0.590306394169998,0.0930867897465818,0.474704458332436,0.170001775730506,FALSE
PTX3,-0.322390401349253,0.00523442218180438,0.474060538455654,0.0055883506230472,TRUE
FCGBP,-0.48051661618822,0.132183214220063,0.470535862469716,0.162148494901626,FALSE
PTPRZ1,-0.447850392936965,0.0643195067415819,0.464776999988896,0.0566850647272756,FALSE
CLSTN1,-0.339114611445705,0.151130683288077,0.464758612845765,0.0388846052342846,FALSE
IGF2R,-0.260296847463577,0.21979488007245,0.464720917003399,0.0055883506230472,FALSE
CRP,-0.436198373879094,0.0351036673067247,0.463964366654947,0.144684674038516,FALSE
B3GNT2,-0.364789531312413,0.109174489428946,0.454802583994107,0.0408605071825396,FALSE
IGKV1-27,-0.493211068918804,0.086205277236857,0.454458671048045,0.104522015658529,FALSE
C2,-0.646500969045112,0.0906100172139035,0.449494433905147,0.185320413862917,FALSE
APMAP,-0.474306295325101,0.014753522556298,0.447444361273234,0.00399583472531791,TRUE
MTTP,-0.453300202966238,0.139201050706684,0.446622598004083,0.0981292206347413,FALSE
QSOX1,-0.373287224044501,0.0880120149652951,0.444356019494006,0.0290830989952551,FALSE
THBS3,-0.332138057623315,0.16164370445553,0.442226137909145,0.0232605770832307,FALSE
IGFBP3,-0.483770186718569,0.0953904351719178,0.440237927147282,0.189451950024051,FALSE
KIT,-0.443849371967027,0.116035701475357,0.43958951183059,0.0620654056491741,FALSE
SERPINC1,-0.522025493027747,0.196124579753931,0.436985562662311,0.17793550742644,FALSE
FAT1,-0.47060407529756,0.0174521159719792,0.43691779473881,0.0201679506366785,TRUE
IGLV2-18,-0.472890172060842,0.00523442218180438,0.434080257927756,0.0593610529413557,FALSE
CDH15,-0.254570308146857,0.240087187484795,0.432938678901725,0.0574057722061739,FALSE
C8G,-0.603127282280626,0.116035701475357,0.432681997606854,0.140434172716405,FALSE
CNPY2,0.371412095307493,0.156502482368136,-0.432332305165401,0.0417755051053057,FALSE
CTSG,0.462958101316375,0.129984378589839,0.430950858552592,0.0648489539151875,FALSE
PLEK,0.328353471423245,0.116035701475357,-0.427190586682462,0.0226161760465772,FALSE
OGN,-0.414216323718866,0.0930867897465818,0.425628608972285,0.144684674038516,FALSE
ACTN1,0.388023059016897,0.014753522556298,-0.424373296856919,0.00802525699692618,TRUE
ATRN,-0.636467506381389,0.0906100172139035,0.424146897870854,0.185320413862917,FALSE
DMKN,-0.555832874155253,0.0178887816698697,0.417173276203478,0.0408605071825396,TRUE
C6,-0.583554010774508,0.168279071212086,0.415629196868891,0.199735677306852,FALSE
LDLR,-0.334321310309541,0.19494917632591,0.410555112544033,0.0475063818923366,FALSE
PLXDC1,-0.39954999502662,0.0906100172139035,0.407248353930293,0.0342869571008979,FALSE
DBH,-0.414652045648792,0.165185478787306,0.399570811885442,0.177702080306447,FALSE
SERPINF2,-0.38839078503157,0.0906100172139035,0.394715576664387,0.102399617094261,FALSE
PGLYRP2,-0.457389615341597,0.12733020328928,0.393142343891638,0.101068253816082,FALSE
VCAM1,-0.284221185892476,0.17045513692271,0.389623951590364,0.0421430138887654,FALSE
APOC1,-0.451320330306944,0.16164370445553,0.386475124989776,0.118645522421439,FALSE
MYH9,0.291248285788437,0.118401362179374,-0.382477306746195,0.0688707459128668,FALSE
RELN,-0.284376815364339,0.158335237020361,0.381656589756366,0.00802525699692618,FALSE
C8A,-0.408777940647976,0.13017887854049,0.375726852635674,0.177175277613927,FALSE
TNXB,-0.307265285660424,0.0906100172139035,0.37351407369792,0.0149853351658743,FALSE
MMP19,-0.301662829829214,0.122118834906136,0.372572754700569,0.0167101066695434,FALSE
ADGRF5,-0.176164519391289,0.208245132318528,0.371360103469629,0.0341153376261279,FALSE
NCAM1,-0.296802579268554,0.150463425467657,0.370202217996261,0.0131670339361277,FALSE
FMOD,-0.429817600433502,0.0336297298171022,0.367314062278439,0.0746052792400597,FALSE
HP,-0.559273872832229,0.0906100172139035,0.362035232357167,0.238793084810801,FALSE
CAVIN2,0.26903665000977,0.116035701475357,-0.359201676051702,0.00648137914431768,FALSE
SUSD5,-0.367703936363667,0.0985464048431445,0.351348712688818,0.0779412114351878,FALSE
SERPINA4,-0.399340665559819,0.234015042424946,0.345358548634258,0.177702080306447,FALSE
SERPINA3,-0.403775890813035,0.118401362179374,0.335152077174176,0.177702080306447,FALSE
C8B,-0.562572550599466,0.0336297298171022,0.33464739017672,0.153260965495906,FALSE
PSMB5,-0.403799751249445,0.0497154661738813,0.333643417966339,0.167144821273483,FALSE
CHL1,-0.328652395364895,0.153166244123389,0.331178952339354,0.140021852227777,FALSE
C1QB,-0.494562048380155,0.182615532532499,0.322410950132365,0.235612066315097,FALSE
SPP1,-0.370717347506965,0.0948815771400987,0.317380053699291,0.164117665441389,FALSE
APOA4,-0.311921495412986,0.0194335867036669,0.316101489439169,0.0517097892430426,FALSE
YWHAZ,0.334081469534238,0.0906100172139035,-0.315145719701879,0.0840812638087479,FALSE
APOA5,-0.277931723335596,0.230918645148798,0.31382624032647,0.185320413862917,FALSE
CLTC,0.253645022653592,0.21979488007245,-0.310070551742507,0.0881051401094521,FALSE
PDIA3,-0.214821072747827,0.151927101488957,0.30804524158557,0.0156284117097196,FALSE
IVL,-0.295103641536839,0.0908882371283407,0.307318806917612,0.0720849060498136,FALSE
TUBB1,0.297818005681747,0.165185478787306,-0.30620883501559,0.0975269479214117,FALSE
COL6A3,-0.244953924304112,0.228338509434664,0.304615371109398,0.109426135166313,FALSE
APOC3,-0.401826995759797,0.0336297298171022,0.301531067880537,0.134302051401244,FALSE
PLXNA4,0.30215141059366,0.0480535179972318,-0.301164818321334,0.0408605071825396,TRUE
IGLL1,-0.497647031366805,0.00523442218180438,0.29972393785294,0.162911677452731,FALSE
PRKCA,0.27639088366257,0.0336297298171022,-0.29884805010035,0.0362617610571836,TRUE
VCP,0.233392511308382,0.116035701475357,-0.29439936192499,0.0167101066695434,FALSE
SYTL4,0.174272876146577,0.208245132318528,-0.294273028900011,0.0529866525301088,FALSE
VDAC1,0.297167129582467,0.11882958289793,-0.291887711222513,0.156043193943081,FALSE
ACAN,-0.325558394364766,0.248761057297024,0.288811191351561,0.14247738950773,FALSE
NEO1,-0.234130005870321,0.116035701475357,0.285858965851976,0.0696853566038631,FALSE
PIP4K2A,0.313017749660161,0.0187187562035195,-0.284177218651792,0.0408605071825396,TRUE
SRGN,0.420027335808864,0.0178887816698697,-0.283545349003062,0.197163041207357,FALSE
BABAM2,0.274819126510406,0.151927101488957,-0.281574701506304,0.0688707459128668,FALSE
CD14,-0.437317580461995,0.00523442218180438,0.281184484819125,0.172448395817832,FALSE
PARVB,0.293612305473876,0.118116869680859,-0.279063454301306,0.108915473248349,FALSE
CETP,-0.290850928470212,0.206981477199248,0.27898702485635,0.184417757425247,FALSE
AGT,-0.279794504694619,0.0906100172139035,0.278290311228057,0.0288318291732275,FALSE
SEC23A,0.270791131698959,0.0974470410106361,-0.276029767990908,0.0148028950331893,FALSE
TOR1AIP2,0.179793586675903,0.240087187484795,-0.274685979529036,0.122953564010645,FALSE
ARCN1,0.151532509528515,0.17045513692271,-0.273711516101348,0.0055883506230472,FALSE
IGFBP5,-0.332123331700064,0.110933923352039,0.273647737607558,0.247313874479785,FALSE
F8,0.221310335371101,0.109578349617767,0.272010370056768,0.0234996745573549,FALSE
STXBP2,0.172632943748561,0.182380368229021,-0.270492844996221,0.00746091807814948,FALSE
WAS,0.272527107711056,0.19494917632591,-0.267097907345342,0.0688707459128668,FALSE
PLXDC2,-0.360525278452802,0.218436065732622,0.263211356515186,0.162911677452731,FALSE
ACTN4,0.270953945641589,0.00817942286953531,-0.242201134714537,0.0161201040585561,TRUE
JAM3,0.289821351033846,0.0882836596131723,-0.240628665001075,0.060275039100655,FALSE
GYS1,0.0630443962936869,0.0336297298171022,-0.237373417882512,0.164117665441389,FALSE
F13B,-0.364284434644149,0.0336297298171022,0.2368005350267,0.184625285158404,FALSE
CPT1A,0.180085528098725,0.246863569051853,-0.236391586172612,0.101068253816082,FALSE
UBE2O,0.145362644161466,0.19494917632591,-0.235465346077703,0.0156284117097196,FALSE
GNAI2,0.248711402439593,0.086205277236857,-0.232382346469845,0.0676177270041347,FALSE
LTBP1,0.198917932294077,0.13017887854049,-0.231198557872058,0.114827203457999,FALSE
TPM4,0.150814990832523,0.19494917632591,-0.230800016865929,0.164110608581169,FALSE
ATP6AP2,-0.25070594269239,0.086205277236857,0.229531786115372,0.198557689037756,FALSE
HSP90AB1,0.304055043921352,0.19494917632591,-0.224306885387746,0.24329134406355,FALSE
TMED8,0.189558921103004,0.19494917632591,-0.217902350826933,0.164117665441389,FALSE
MYO5A,0.167970168873872,0.197565911870163,-0.211993903957194,0.103012748560545,FALSE
