variable,timepoint,n_dysglyc,mean_dysglyc,sd_dysglyc,n_control,mean_control,sd_control,diff_dysglyc_minus_control,p_group_welch,p_group_wilcoxon
n participants,A1,13,,,13,,,,,
Age,A1,13,52.5385,5.6068,13,49.8462,7.4145,2.6923,0.308,0.268
Weight,A1,13,95.3692,10.2218,13,78.5231,8.2139,16.8462,0.000117,0.000173
Weight,B1,13,93.6692,9.7411,13,78.2538,8.1973,15.4154,0.00022,0.000228
Weight,delta,13,-1.7,2.2026,13,-0.2692,1.6178,-1.4308,0.0723,0.0856
BMI,A1,13,28.9846,2.4079,13,23.5231,1.9643,5.4615,1.8e-06,4.52e-05
BMI,B1,13,28.6,2.2613,13,23.5,1.7559,5.1,1.61e-06,6.3e-05
BMI,delta,13,-0.3846,1.1894,13,-0.0231,0.4693,-0.3615,0.323,0.0606
FFM,A1,13,70.2,6.6185,13,63.2308,6.1597,6.9692,0.0104,0.012
FFM,B1,13,69.3385,6.3778,13,63.5308,6.2936,5.8077,0.0281,0.024
FFM,delta,13,-0.8615,1.3805,13,0.3,1.1195,-1.1615,0.0273,0.0196
M_mg.kg.min,A1,13,4.1833,1.7808,13,7.6125,1.5686,-3.4293,2.56e-05,1.87e-05
M_mg.kg.min,B1,13,5.4035,1.7653,13,10.3556,2.5867,-4.9521,1.13e-05,2.67e-05
M_mg.kg.min,delta,13,1.2203,1.1377,13,2.7431,2.0132,-1.5228,0.0283,0.0295
VO2max.kg,A1,13,37.0962,4.9156,13,44.0923,4.4273,-6.9962,0.000856,0.000402
VO2max.kg,B1,13,41.9,5.0288,13,49.7769,5.1194,-7.8769,0.000587,0.000401
VO2max.kg,delta,13,4.8038,2.7966,13,5.6846,4.0681,-0.8808,0.527,0.27
ChestPress,A1,13,68.6538,13.6784,13,65.5769,16.8063,3.0769,0.614,0.589
ChestPress,B1,13,77.3077,12.6845,12,77.0833,20.2494,0.2244,0.974,1
ChestPress,delta,13,8.6538,3.9018,12,11.875,5.6533,-3.2212,0.116,0.173
PullDown,A1,13,75.5769,15.1435,13,68.8462,9.2767,6.7308,0.187,0.257
PullDown,B1,13,85.1923,13.7864,12,79.7917,9.5619,5.4006,0.265,0.326
PullDown,delta,13,9.6154,4.0628,12,12.0833,5.6239,-2.4679,0.226,0.374
LegPress,A1,13,248.6538,30.2699,13,199.6154,36.8675,49.0385,0.00115,0.0019
LegPress,B1,13,278.2692,27.7523,13,218.0769,37.944,60.1923,0.000134,0.000573
LegPress,delta,13,29.6154,17.3159,13,18.4615,12.5224,11.1538,0.0732,0.123
mri_VL,A1,13,23993.4615,3071.6631,12,20344,2932.0778,3649.4615,0.00584,0.016
mri_VL,B1,13,25619.7692,2877.3784,12,22233.1667,2572.5193,3386.6026,0.00497,0.00798
mri_VL,delta,13,1626.3077,1376.5844,12,1889.1667,728.167,-262.859,0.554,0.503
mri_IP,A1,13,2416.6154,718.2649,13,960.9231,645.273,1455.6923,1.44e-05,1.87e-05
mri_IP,B1,13,1829.6923,818.5981,13,730.3077,536.9665,1099.3846,0.000591,0.000493
mri_IP,delta,13,-586.9231,331.9677,13,-230.6154,236.7149,-356.3077,0.00469,0.00442
mri_TAT,A1,13,14193.0769,3332.8985,13,7793.9231,2071.3026,6399.1538,9.32e-06,1.29e-05
mri_TAT,B1,13,12646.3846,3143.1483,13,7005.7692,1449.4198,5640.6154,1.89e-05,1.29e-05
mri_TAT,delta,13,-1546.6923,785.5536,13,-788.1538,805.2146,-758.5385,0.0229,0.0378
mri_SAT,A1,13,8923.6923,2105.0418,13,5228.8462,1330.2199,3694.8462,2.96e-05,7.17e-05
mri_SAT,B1,13,8233.3846,1833.7135,13,4814.1538,952.519,3419.2308,1.2e-05,0.000147
mri_SAT,delta,13,-690.3077,622.1933,13,-414.6923,535.0416,-275.6154,0.238,0.311
mrs_Hep,A1,9,9.1433,5.8559,10,2.805,2.2421,6.3383,0.0121,0.0279
mrs_Hep,B1,9,6.46,4.1875,10,2.225,2.448,4.235,0.0203,0.0247
mrs_Hep,delta,9,-2.6833,2.5793,10,-0.58,1.0805,-2.1033,0.0451,0.113
mrs_Musc,A1,9,11.1111,3.9826,10,13.6,5.6214,-2.4889,0.278,0.306
mrs_Musc,B1,9,4.8889,2.0276,10,9.9,4.8408,-5.0111,0.0109,0.0553
mrs_Musc,delta,9,-6.2222,4.3237,10,-3.7,2.9078,-2.5222,0.163,0.127
