Protein.Group,Genes,n_obs,n_ID,est_ri,se_ri,p_ri,q_ri,shapiro_p,shapiro_p_marginal,shapiro_p_ranef,bp_stat,bp_p,bp_p_marginal,spearman_rho_absres_fitted,spearman_p,levene_p
P62805,H4C1,50,26,0.732416447484698,0.278670894941557,0.00858257156090729,0.0688707459128668,7.8605260968871e-09,1.16772604669083e-08,9.3632485531527e-05,11.4879435985334,0.000700490971291365,0.118837803666182,-0.109627851140456,0.447359627761688,0.661513895678733
P04908;P0C0S8;P20671;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1,H2AC11;H2AC12;H2AC14;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ,51,26,0.817390278303432,0.390744875128043,0.0364495060332946,0.157228748003735,2.04245402911742e-07,2.04245402911742e-07,,2.18903779947579,0.138996122232076,0.138996122232076,-0.139765648297111,0.32797846576694,0.804589502379169
P00734,F2,52,26,0.0239539663495709,0.0724168652340267,0.740811548671912,0.844841811680362,2.04796484179959e-07,2.04796484179959e-07,,2.54292830053087,0.110789144383452,0.110789144383452,-0.143588842528762,0.309849426715811,0.508156593051554
P02747,C1QC,52,26,0.336371961875138,0.293148401315291,0.251197336959147,0.446091822530898,2.71018411472705e-07,2.94362998013656e-07,0.0173680613946591,4.1781449454821,0.0409484981325025,0.0645328691111758,0.252625288141381,0.0709745276597601,0.737563679550196
P00748,F12,48,26,0.273816305606983,0.286677130715046,0.339507765673421,0.527175374839633,4.19988863986023e-07,9.41885554242433e-07,0.0137648252440334,0.415040677402289,0.519422080791689,0.753126275235566,0.278766825879288,0.0553483390377599,0.746664958137516
P05062,ALDOB,49,26,0.311040420229103,0.228200028010747,0.172877287403291,0.355365794677358,4.62380612420728e-07,4.62380612420728e-07,,1.74228050132702,0.186850131390727,0.186850131390727,-0.00814412649103778,0.955709804589943,0.479046468927161
Q9Y5K6,CD2AP,51,26,-0.0438133461432983,0.133603845483773,0.742960984581698,0.846515281105253,4.65470470664748e-07,4.53428983967084e-07,7.45767858108006e-05,4.4779307272786,0.0343352684513323,0.0419841556262093,-0.406787330316742,0.00327546256662644,0.670563814695345
P09871,C1S,52,26,0.0151249280760985,0.0716114713670439,0.832724833009952,0.904641869915739,6.65769786385062e-07,2.67020525443833e-07,0.000130676154780899,14.985167722015,0.000108359541450021,0.411019708634701,-0.145223256211048,0.303355998465047,0.382076043556167
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,48,26,0.788910923261351,0.349885131243648,0.0241476928112584,0.122595572779218,9.2675018857521e-07,9.2675018857521e-07,,1.956211164293,0.161919107910428,0.161919107910428,0.110163799943608,0.456035005210459,0.454133538685898
Q96PD5,PGLYRP2,52,26,0.393142343891638,0.164636198902851,0.016942833487615,0.101068253816082,1.33965855274369e-06,1.33965855274369e-06,,1.50675085374198,0.219635547460337,0.219635547460337,0.261643111679024,0.0609779319798014,0.0258392830626599
P68871,HBB,52,26,0.420285898243208,0.274569306962729,0.125841158302918,0.300037946879643,1.41030313416653e-06,1.41030313416653e-06,,4.77322088614151,0.0289056990645924,0.0289056990645924,0.21954557178474,0.117858032364839,0.993225310016418
P13671,C6,52,26,0.415629196868891,0.222748658369165,0.0620538026584394,0.199735677306852,1.50986675922749e-06,1.50986675922749e-06,,5.12298952056258,0.02361090724158,0.02361090724158,0.257329839148872,0.0655229637167533,0.701377370149136
P05452,CLEC3B,49,26,0.263050357373975,0.291154475531736,0.36627463861762,0.552369353990151,1.59518864958615e-06,1.59518864958615e-06,,3.40079769923233,0.0651648982886361,0.0651648982886361,0.324438418432963,0.0229450959036776,0.492134606867517
P01008,SERPINC1,52,26,0.436985562662311,0.22208606481841,0.049109402321704,0.17793550742644,2.25207798894479e-06,2.29634840338491e-06,0.00858654039591314,5.55701233031508,0.0184068012282464,0.0949831035886716,0.0970716298130282,0.492477381396073,0.519401105508896
P29622,SERPINA4,52,26,0.345358548634258,0.175343127435217,0.0488824492752361,0.177702080306447,3.02035795407972e-06,3.15549763857548e-06,0.00581647861712387,2.19602265452255,0.138367350021482,0.499510963114315,0.190899001109878,0.174757946403539,0.319060535088078
Q14624,ITIH4,52,26,0.247753729192177,0.209063186631059,0.235991248989903,0.430976926346809,3.10843111029621e-06,3.10843111029621e-06,,3.87254726144636,0.0490819761416296,0.0490819761416296,0.383708724282328,0.00498400186692151,0.503410131854585
P04217,A1BG,52,26,0.250256616361698,0.23134485190503,0.279364930321555,0.47171455447738,4.61443329920269e-06,1.75020561657227e-06,0.00309530083173095,8.41659349807877,0.0037181177339048,0.3082794594721,0.214974814308888,0.125728140738207,0.532325147026823
Q9Y3B3,TMED7,48,26,-0.222822647496916,0.15514222980101,0.15093191286186,0.329364131880753,6.21063036435552e-06,6.21063036435552e-06,,2.03525104369454,0.153688807337429,0.153688807337429,0.0177102152970101,0.904899104484505,0.19862337955547
P10643,C7,52,26,0.552338850666284,0.22032610275346,0.0121789934620394,0.0828922682768763,6.21763848269001e-06,6.21763848269001e-06,,2.04065533404577,0.15314365725421,0.15314365725421,0.213118795714814,0.129279325907556,0.210216607929969
