Protein.Group,Genes,n_obs,n_ID,est_ri,se_ri,p_ri,q_ri,logLik_ri,rs_default_ok,rs_error,rs_fitted,rs_converged,rs_singular,est_rs,se_rs,p_rs,logLik_rs,LRT_chisq,LRT_p,sd_slope,cor_int_slope,sigma_ri,sigma_rs,q_rs,q_ri_sub
O00231,PSMD11,51,26,-0.256466798453908,0.0524167216865384,9.9389607229375e-07,0.00153556943169384,-0.0213680459996688,FALSE,number of observations (=51) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,TRUE,FALSE,-0.256705615620991,0.052239924326175,8.92487151428344e-07,0.390648726854394,0.824033545708126,0.662313167076863,0.0766454214940114,-0.852371586502197,0.185078924499828,0.17691975048028,0.00137889264895679,0.00153556943169384
Q4LDE5,SVEP1,52,26,0.456307633517632,0.098106659001677,3.3010793989958e-06,0.00198417263180398,-30.1590452312952,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.456041816737527,0.0981497878565196,3.37800392141083e-06,-30.027598984348,0.262892493894491,0.876826405967129,0.255080599166692,-0.176944280351051,0.351320878435727,0.301671595581969,0.00247444691182996,0.00198417263180398
Q16820,MEP1B,39,21,0.608664768072802,0.131769264970623,3.85276239185238e-06,0.00198417263180398,-37.2584392432537,FALSE,number of observations (=39) <= number of random effects (=42) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.60989775350956,0.133365284591269,4.80475128510671e-06,-36.6904535552683,1.13597137597085,0.566665731452395,0.174296619723384,-0.947185832149692,0.393385028380636,0.383342938844027,0.00247444691182996,0.00198417263180398
Q9HDC9,APMAP,52,26,0.447444361273234,0.101465228957557,1.03452031723441e-05,0.00399583472531791,-36.1565252714621,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.447250828149058,0.101470984259025,1.04487560633754e-05,-35.8230198070369,0.667010928850374,0.716407983871437,0.198815391462805,0.270561806809638,0.362581528079584,0.334272183528064,0.00403583202947874,0.00399583472531791
Q9NYL9,TMOD3,52,26,-0.519910123944678,0.122739506047908,2.27655822146905e-05,0.00554715131857844,-35.3715506481227,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.51839939754634,0.122736901246228,2.40362609929716e-05,-35.0174736712842,0.708153953676899,0.701820941318824,0.41966051347742,-0.743245980668545,0.440590825393088,0.325763321985287,0.00525182406395716,0.00554715131857844
P39060,COL18A1,46,25,0.565156445159529,0.133619407813716,2.34108771395803e-05,0.00554715131857844,-39.4422670945412,FALSE,number of observations (=46) <= number of random effects (=50) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,TRUE,FALSE,0.565978747426546,0.133631536294876,2.281775991152e-05,-39.434576733331,0.015380722420403,0.992339133959636,0.139746665015526,-0.302633779710116,0.439163971514942,0.428298061678168,0.00525182406395716,0.00554715131857844
P24821,TNC,52,26,0.482477222237641,0.115280710956454,2.84867360478117e-05,0.00554715131857844,-31.8903198154247,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.482770315755003,0.115265805607474,2.81024532015602e-05,-31.792319549259,0.196000532331269,0.906648662435173,0.367475788788813,-0.47354067114652,0.413844365103566,0.322030972269329,0.00525182406395716,0.00554715131857844
O60462,NRP2,52,26,0.529404599754793,0.126550072944036,2.87231136237072e-05,0.00554715131857844,-46.1879577043077,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,TRUE,FALSE,0.531182508161769,0.126616026477017,2.72602855434926e-05,-45.1559398414454,2.06403572572466,0.3562872958184,0.397174472922366,0.132071816464492,0.452571224362587,0.355436434693274,0.00525182406395716,0.00554715131857844
Q9BTV4,TMEM43,50,26,-0.289543987760543,0.0702264075502733,3.73957916898586e-05,0.0055883506230472,-19.2768627165288,FALSE,number of observations (=50) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.290170009008131,0.0724762643862663,6.23711189307709e-05,-18.7596011760316,1.03452308099438,0.596150849653142,0.107225373335111,-0.948328978581587,0.241992143887596,0.239296519334063,0.00525182406395716,0.0055883506230472
P11717,IGF2R,50,26,0.464720917003399,0.113768904254296,4.4118643311044e-05,0.0055883506230472,-36.9792028251257,FALSE,number of observations (=50) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,TRUE,FALSE,0.460079013162794,0.113588507523137,5.11299213359549e-05,-36.6629324943819,0.632540661487653,0.728862389621129,0.16294641742406,-0.809367928099115,0.396527790940222,0.378963488910785,0.00525182406395716,0.0055883506230472
