universe,set,ontology,ID,Description,status,GeneRatio_acute,GeneRatio_chronic,Count_acute,Count_chronic,FE_acute,FE_chronic,q_acute,q_chronic
common,all,BP,GO:0007155,cell adhesion,chronic only,8/31,47/124,8,47,1.31,1.92,0.609,0.00118
common,all,CC,GO:0030312,external encapsulating structure,chronic only,7/32,31/125,7,31,2,2.27,0.774,0.000405
common,all,CC,GO:0031012,extracellular matrix,chronic only,7/32,31/125,7,31,2.01,2.28,0.774,0.000405
common,all,CC,GO:0009986,cell surface,chronic only,4/32,24/125,4,24,1.36,2.09,0.813,0.0189
common,all,CC,GO:0062023,collagen-containing extracellular matrix,chronic only,6/32,24/125,6,24,1.95,2,0.774,0.0289
common,down,BP,GO:0045931,positive regulation of mitotic cell cycle,chronic only,,5/51,,5,,12.64,,0.0297
common,down,BP,GO:0007017,microtubule-based process,chronic only,,12/51,,12,,3.48,,0.0451
common,down,BP,GO:0048285,organelle fission,chronic only,1/19,8/51,1,8,1.74,5.17,0.638,0.0451
common,up,BP,GO:0007155,cell adhesion,chronic only,4/12,32/73,4,32,1.69,2.22,0.413,0.00175
common,up,BP,GO:0009887,animal organ morphogenesis,chronic only,,14/73,,14,,3.63,,0.00365
common,up,BP,GO:0030198,extracellular matrix organization,chronic only,1/12,12/73,1,12,2.11,4.16,0.521,0.00365
common,up,BP,GO:0043062,extracellular structure organization,chronic only,1/12,12/73,1,12,2.11,4.16,0.521,0.00365
common,up,BP,GO:0045229,external encapsulating structure organization,chronic only,1/12,12/73,1,12,2.11,4.16,0.521,0.00365
common,up,BP,GO:0009653,anatomical structure morphogenesis,chronic only,4/12,32/73,4,32,1.51,1.99,0.458,0.00393
common,up,BP,GO:0048513,animal organ development,chronic only,4/12,29/73,4,29,1.72,2.05,0.411,0.00516
common,up,BP,GO:0048731,system development,chronic only,4/12,37/73,4,37,1.18,1.79,0.571,0.00516
common,up,BP,GO:0035239,tube morphogenesis,chronic only,1/12,17/73,1,17,1.03,2.87,0.683,0.00529
common,up,BP,GO:0070848,response to growth factor,chronic only,,15/73,,15,,3.07,,0.00646
common,up,BP,GO:0072359,circulatory system development,chronic only,3/12,19/73,3,19,2.48,2.58,0.411,0.00646
common,up,BP,GO:0016477,cell migration,chronic only,4/12,26/73,4,26,1.96,2.1,0.411,0.00746
common,up,BP,GO:0060485,mesenchyme development,chronic only,,8/73,,8,,5.18,,0.00786
common,up,BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,chronic only,,9/73,,9,,4.6,,0.00786
common,up,BP,GO:0007275,multicellular organism development,chronic only,6/12,39/73,6,39,1.56,1.67,0.411,0.00786
common,up,BP,GO:0090287,regulation of cellular response to growth factor stimulus,chronic only,,9/73,,9,,4.26,,0.0128
common,up,BP,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,chronic only,,5/73,,5,,8.09,,0.0135
common,up,BP,GO:0048870,cell motility,chronic only,4/12,26/73,4,26,1.85,1.97,0.411,0.0135
common,up,BP,GO:0048514,blood vessel morphogenesis,chronic only,1/12,14/73,1,14,1.26,2.89,0.636,0.0135
common,up,BP,GO:0001944,vasculature development,chronic only,1/12,15/73,1,15,1.11,2.75,0.663,0.0135
common,up,BP,GO:0048762,mesenchymal cell differentiation,chronic only,,7/73,,7,,5.23,,0.0147
common,up,BP,GO:0007166,cell surface receptor signaling pathway,chronic only,5/12,29/73,5,29,1.92,1.83,0.411,0.0156
common,up,BP,GO:0035295,tube development,chronic only,2/12,17/73,2,17,1.76,2.46,0.478,0.0156
common,up,BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,chronic only,,7/73,,7,,5.04,,0.0167
common,up,BP,GO:0009888,tissue development,chronic only,3/12,22/73,3,22,1.71,2.06,0.454,0.021
common,up,BP,GO:0007167,enzyme-linked receptor protein signaling pathway,chronic only,2/12,17/73,2,17,1.7,2.38,0.494,0.0216
common,up,BP,GO:0001568,blood vessel development,chronic only,1/12,14/73,1,14,1.16,2.67,0.652,0.0225
common,up,BP,GO:0071363,cellular response to growth factor stimulus,chronic only,,13/73,,13,,2.77,,0.0241
common,up,BP,GO:0048646,anatomical structure formation involved in morphogenesis,chronic only,3/12,17/73,3,17,2.5,2.33,0.411,0.0251
common,up,BP,GO:0001525,angiogenesis,chronic only,1/12,12/73,1,12,1.46,2.88,0.604,0.0272
common,up,BP,GO:0050679,positive regulation of epithelial cell proliferation,chronic only,1/12,6/73,1,6,5.14,5.07,0.411,0.0352
common,up,BP,GO:0035924,cellular response to vascular endothelial growth factor stimulus,chronic only,,5/73,,5,,6.07,,0.0373
common,up,BP,GO:0048754,branching morphogenesis of an epithelial tube,chronic only,,5/73,,5,,6.07,,0.0373
