Genes,e0,q0,e1,q1
A1BG,0.250256616361698,0.47171455447738,0.195040367269231,0.621789886069468
A2M,0.238720901633971,0.322644372362381,0.21017980616714,0.434118723340768
AARS1,-0.0581032990481111,0.772350788314678,-0.0675864741240573,0.759911130107633
ABCB6,-0.162929968693015,0.164110608581169,-0.159796855441986,0.197195670365056
ABCC4,-0.161810832488622,0.305292260825664,-0.176277951914363,0.301116247947263
ABCD3,0.151430971758971,0.520583177169374,0.0968328715764561,0.727282397090095
ABCF1,-0.0861058887397474,0.580600548746651,-0.101423300835417,0.562493143283792
ABHD16A,-0.244481246450116,0.268972230766459,-0.146988940872324,0.450896986238246
ABI1,-0.156089615377061,0.306867111976222,-0.162337580734029,0.331018946628321
ABI3BP,0.485024701412508,0.0566850647272756,0.448015298178079,0.0813414805842012
ABLIM1,0.169394252089333,0.320233458080373,0.208787849962455,0.281513525522211
ABLIM3,-0.14638224123815,0.184625285158404,-0.125563501100305,0.28602836327883
ABRAXAS2,-0.0792185006275877,0.775311534117363,-0.0576690454174787,0.856965573752886
ACADM,-0.18331481550718,0.324515200959946,-0.120885278306202,0.509601935020584
ACADSB,0.243264470901235,0.153260965495906,0.237658438518594,0.187197191142656
ACADVL,-0.277891808531071,0.0161201040585561,-0.251796403854032,0.0363105588143893
ACAN,0.288811191351561,0.14247738950773,0.212349563149959,0.289026513024176
ACAP2,0.0980436478619199,0.665034262264058,0.127566378734497,0.60336338975331
ACLY,-0.163965953410135,0.244313356960311,-0.113963539918824,0.44301214946776
ACO2,-0.194707314910511,0.0822070388278004,-0.172608230590159,0.119503305448107
ACSL3,-0.0360651141524264,0.781163781414172,-0.0163801117089536,0.910568973732343
ACSL4,-0.281001673859877,0.164117665441389,-0.216563576868744,0.309966951682671
ACSL5,0.125523520123998,0.506577674863857,0.128859083416395,0.539507704680617
ACTA1,-0.407578089192611,0.0676177270041347,-0.355407060389753,0.0993390995820172
ACTB;ACTG1,-0.104944657242694,0.520583177169374,-0.0795387950374317,0.650661660988525
ACTBL2,-0.229249180415073,0.306989461046605,-0.1848660101164,0.444327039309363
ACTN1,-0.424373296856919,0.00802525699692618,-0.396993908211791,0.0153978882382676
ACTN4,-0.242201134714537,0.0161201040585561,-0.229566770198708,0.0330999218246214
ACTR1A,-0.073040467534553,0.713364346234123,-0.0923265606366526,0.668897013415648
ACTR1B,-0.12611169177436,0.162911677452731,-0.137432934931071,0.16337636817247
ACTR2,-0.222313934925965,0.0200456366812118,-0.227571908655538,0.0272817010966583
ACTR3,-0.0505145167208757,0.823891790099697,-0.00840623015388439,0.974260536319017
ADAM10,-0.134667127197364,0.62374920137828,-0.162882207242219,0.583722224201375
ADAMTS13,0.275294310791778,0.0408605071825396,0.27168275838115,0.0549729129336159
ADAMTS8,0.549271668030731,0.110254644073677,0.565438117803158,0.120382563986217
ADAMTSL2,0.313070689446315,0.0822070388278004,0.250725507578147,0.170018136517435
ADCY6,-0.0786952241230175,0.62374920137828,-0.0202960345029323,0.905482419576246
ADD1,-0.107844214601192,0.331684004161402,-0.0868485189996374,0.488527359630407
ADD3,0.0692858363859481,0.467217209758678,0.0553924790682692,0.614626323988942
ADGRF5,0.371360103469629,0.0341153376261279,0.309758858421172,0.0535281506086743
ADGRG6,0.488094346695579,0.0205696341301766,0.416716544872997,0.0445483548551406
ADGRL4,0.488297427743311,0.00746091807814948,0.463962823561474,0.0153493520803499
ADIPOQ,0.354164405747582,0.29285638733209,0.361034498592142,0.32853701203282
ADSL,-0.0427561709361838,0.8426852737696,-0.0528573021796893,0.822890250249691
AFM,0.379489420675128,0.435818014099339,0.229553825388813,0.65941254647424
AGPS,-0.183710467923213,0.184777733672076,-0.187633203650523,0.211788889344967
AGRN,0.202188009376846,0.266995471764712,0.155998117323668,0.43849095203232
AGT,0.278290311228057,0.0288318291732275,0.228283933851612,0.0717807593890151
AHCY,-0.241802363245084,0.0634765333940964,-0.202528704131568,0.0947927380163568
AHCYL1,-0.0616172805754604,0.680383240336554,-0.0559190450868508,0.736012906885203
AHSG,0.319932236310397,0.506577674863857,0.402984863724898,0.426407627047023
AIFM1,-0.193116604631097,0.0167101066695434,-0.199983869891117,0.0231057103576231
AK2,-0.0549786377267776,0.744219797991414,-0.0195078113132829,0.913732639516977
AK3,-0.0940602442308439,0.599788078750442,-0.110643309086739,0.583722224201375
AKAP12,0.561485885337332,0.01633457848064,0.542240882293283,0.0302194923122951
AKR7A2,-0.142088586398903,0.234248951465763,-0.126358335094592,0.335969944661249
ALAD,0.0607263427669491,0.704261633323672,0.0426422265125853,0.826668563865087
ALB,-0.0570564305673065,0.824524360742405,-0.0711327420338414,0.799742243817041
ALCAM,0.342499015525856,0.122595572779218,0.328259633004199,0.16519266352098
ALDH16A1,-0.158624272811133,0.10323138523956,-0.128201931931829,0.172269306774562
ALDH3A2,-0.186194328839867,0.478122142086182,-0.165728609331554,0.577799377782782
ALDOA,-0.0144185625275392,0.916974728668754,-0.0278504284952072,0.844560415016325
ALDOB,0.311040420229103,0.355365794677358,0.140996197582698,0.708498782920744
ALOX12,-0.121842735245411,0.472456425842375,-0.0588293989106607,0.761870110518415
AMBP,0.141831160618377,0.477006284674888,0.109628349239991,0.634163843763355
AMPD2,-0.00930434811675564,0.947833559402364,0.0105959099214664,0.947391418644844
ANGPT1,0.115914833870549,0.351434421450015,0.0732888842641526,0.634163843763355
ANGPTL6,0.370634203078389,0.0206270425249273,0.327485942073068,0.0469872513932803
ANK1,-0.100182946224963,0.390299361063084,-0.0912393134522019,0.495747362986265
ANKRD28,-0.188518614889664,0.157228748003735,-0.173537667498922,0.204156153100547
ANO6,-0.0355679862787264,0.801190671068924,-0.0467576215939727,0.754251570853811
ANPEP,0.335451021264935,0.315770649383088,0.228449450373737,0.558889393498073
ANTXR1,0.301411499487254,0.164117665441389,0.22419030144484,0.28216445008735
ANTXR2,0.472632612930567,0.060275039100655,0.470402397832658,0.0813414805842012
AP1M1,-0.122810635126448,0.259492838944377,-0.109953892804609,0.359704218906241
AP1S2,-0.17454509163333,0.575444944871428,-0.210916227239296,0.525338515491268
AP2A1,-0.102584594953382,0.36259480839829,-0.0974422473118805,0.43849095203232
AP2B1,0.0130794319751528,0.937952575049008,0.0516787748831468,0.739893456508911
AP2M1,-0.0873613255385108,0.482370523485909,-0.0766033800670872,0.576699701944238
AP3B1,0.0692452850941534,0.642224373649537,0.0887560868420834,0.589220605943234
AP3D1,-0.18098157681294,0.0694022045375355,-0.164326401026792,0.110674032889057
APCS,0.01258969254659,0.949345940878553,-0.00984094383089405,0.965883814380362
APEH,-0.0460672429210744,0.756248492000289,-0.041967428477511,0.808248119255348
APLP1,0.801805066100535,0.0201679506366785,0.724016777376066,0.0355852008604603
APLP2,0.123835431590552,0.440400595707572,0.11282829635686,0.525338515491268
APMAP,0.447444361273234,0.00399583472531791,0.405840527153647,0.00655096641698761
APOA1,0.113698741685082,0.0956952339154999,0.0976591987911741,0.172269306774562
APOA2,0.392460421980518,0.0408605071825396,0.420289565917334,0.0407776610548418
